gene1,gene2
12502,2177
12502,4286
12502,7377
12502,564
12502,6798
12502,2637
12502,1186
12502,8723
12502,8433
12502,700
12502,1110
12502,15373
2031,6675
2031,17268
2031,5491
2031,10840
2031,9332
2031,2765
2031,2177
2031,4936
2031,2473
2031,5561
2031,1814
2031,6352
2031,1588
2031,3995
2031,8254
2031,4813
2031,13145
2031,8209
2031,17154
2031,1263
2031,10984
2031,7805
2031,4428
2031,14379
2031,7377
2031,3238
2031,8934
2031,378
2031,8428
2031,3312
2031,12274
2031,4122
2031,6206
2031,8370
2031,4201
2031,6832
2031,7851
2031,7678
2031,3946
2031,946
2031,14317
2031,3544
2031,635
2031,5725
2031,10781
2031,1551
2031,2873
2031,3486
2031,8509
2031,8467
2031,3117
2031,2825
2031,3276
2031,3030
2031,2805
2031,24
2031,3609
2031,816
2031,8555
2031,5943
2031,6798
2031,12942
2031,2730
2031,6098
2031,5810
2031,8944
2031,8886
2031,90
2031,3342
2031,7255
2031,3687
2031,3308
2031,3343
2031,7008
2031,6972
2031,1570
2031,5166
2031,5492
2031,2097
2031,8631
2031,283
2031,17285
2031,1186
2031,3966
2031,5921
2031,8825
2031,3525
2031,8433
2031,1799
2031,6455
2031,6333
2031,6441
2031,6104
2031,5023
2031,12349
2031,2318
2031,7230
2031,14127
2031,4582
2031,2455
2031,15714
2031,2623
2031,5792
2031,17711
2031,16747
2031,10287
2031,13930
2031,10767
2031,4053
2031,7905
2031,17365
2031,16863
2031,10848
2031,1379
2031,15731
2031,1954
2031,16091
2031,17022
2031,14681
2031,13846
2031,6339
2031,302
2031,10160
2031,16528
2031,5689
2031,10201
2031,17243
2031,6559
2031,12982
2031,14475
2031,14316
2031,16898
2031,14281
2031,11728
2031,17528
2031,13776
250,13818
250,8915
250,15023
250,7157
671,4193
671,5561
671,1712
671,8471
671,6999
671,3880
671,7499
671,6850
671,2466
671,5617
671,1221
671,2746
671,5559
671,1677
671,8915
671,6318
671,16748
671,7559
3933,7363
3933,5561
3933,1814
3933,13145
3933,6474
3933,2069
3933,7807
3933,821
3933,12274
3933,7678
3933,6476
3933,7499
3933,2947
3933,1270
3933,816
3933,6411
3933,1432
3933,7448
3933,4319
3933,7008
3933,1332
3933,12333
3933,7200
3933,12380
3933,3503
3933,6969
3933,8355
3933,5974
3933,394
3933,1594
15176,13052
15176,8212
15176,4157
15176,7392
15176,11387
15176,2173
15176,8433
15176,8955
15176,13818
15176,2109
15176,8623
15176,8873
15176,11272
15176,7905
15176,4587
15176,17219
15176,8943
15176,5547
15176,15984
15176,3190
26,3176
26,17258
26,6187
26,6120
26,2109
7552,7062
7552,8786
7552,4400
7552,2656
7552,859
7552,7625
7552,768
7552,5637
7552,4591
7552,8212
7552,2081
7552,7419
7552,16036
7552,4958
7552,17287
7552,14624
7552,6971
7552,543
7552,11387
7552,7383
7552,2603
7552,9977
7552,13818
7552,3701
7552,2151
7552,13754
7552,6120
7552,7904
7552,7033
7552,11812
7552,14007
7552,2442
7552,8873
7552,13999
7552,13690
7552,7845
7552,2028
7552,2946
7552,17710
7552,8265
7552,17553
7552,11052
7552,16924
7552,1306
6076,1213
6076,3695
6076,4935
2671,5786
2671,8457
2671,4428
2671,7226
2671,5768
2671,4049
2671,5677
2671,6050
2671,2609
2671,6126
2671,17130
2671,6312
2671,3932
2671,6220
2671,6187
2671,7408
2671,3044
2671,5907
2671,13805
2671,14795
2671,3525
2671,4409
2671,13818
2671,10791
2671,5490
2671,17118
2671,6885
2671,5656
2671,2338
2671,3403
2671,3443
2671,6366
2671,15542
2671,5380
2671,6138
2671,7398
2671,119
2671,78
2671,7997
2671,7274
2671,6044
2671,7942
2671,13036
2671,8422
2671,4704
2671,15506
2671,1928
2671,17241
2671,9482
2671,1604
2671,11238
2671,3202
2671,13482
2671,11789
2671,13281
16664,338
16664,5403
16664,7929
16664,6312
16664,16538
16664,8718
16664,13818
16664,3369
16664,5578
16664,17298
16664,6011
16664,16850
16664,8261
16664,3186
4254,4634
4254,2637
4254,13818
4254,6509
8620,5561
8620,3743
8620,13837
8620,9184
8620,6312
8620,9288
8620,2721
8620,13818
8620,12828
8620,3976
8620,17815
8620,7104
8620,9889
794,5561
794,2174
794,12504
794,5768
794,3746
794,9083
794,13742
794,11915
794,5637
794,2480
794,5660
794,8937
794,9813
794,8468
794,6735
794,7133
794,333
794,11958
794,14547
794,14314
794,2637
794,8830
794,8458
794,11418
794,10168
794,3568
794,6073
794,612
794,17755
794,10579
794,938
794,16911
794,16782
794,13818
794,3406
794,2346
794,6767
794,1631
794,11401
794,4440
794,7413
794,14931
794,6044
794,9495
794,10739
794,7696
794,12473
794,13424
794,2946
794,16986
794,13406
794,17553
794,11252
794,11934
794,12950
794,7405
794,12508
794,13836
6189,4859
4819,16274
4819,1509
4819,6812
4819,1397
4819,17175
4819,7699
4819,5226
4819,5236
4819,2017
4819,13411
4819,4581
4819,5561
4819,8443
4819,1712
4819,7622
4819,5555
4819,618
4819,16859
4819,2572
4819,11903
4819,2245
4819,2723
4819,6586
4819,3970
4819,7166
4819,4385
4819,4265
4819,4335
4819,2271
4819,2502
4819,1075
4819,5770
4819,7920
4819,7286
4819,3394
4819,13528
4819,6336
4819,8025
4819,4374
4819,17019
4819,13520
4819,15371
4819,13688
4819,2653
4819,1193
4819,1213
4819,3214
4819,7695
4819,1757
4819,8127
4819,650
4819,7437
4819,5199
4819,1817
4819,600
4819,3012
4819,9655
4819,4706
4819,11835
4819,7019
4819,11407
4819,2609
4819,5040
4819,5016
4819,8860
4819,9497
4819,518
4819,15437
4819,7499
4819,2634
4819,1477
4819,685
4819,106
4819,6858
4819,7292
4819,14193
4819,12365
4819,1738
4819,1378
4819,8855
4819,4899
4819,4029
4819,6626
4819,17494
4819,7461
4819,6520
4819,3719
4819,3490
4819,4214
4819,2873
4819,5852
4819,12786
4819,1763
4819,3635
4819,5011
4819,3755
4819,5522
4819,2516
4819,16238
4819,1347
4819,3628
4819,1353
4819,2081
4819,7419
4819,2825
4819,5906
4819,11350
4819,4783
4819,7388
4819,13767
4819,5045
4819,7133
4819,4364
