gene1,gene2
15736,8270
14882,6811
1847,14868
5466,3447
13298,5626
14972,14707
8308,6435
9551,83
458,2480
10853,1788
14266,5493
12982,5950
25,14173
17177,13631
12883,2637
2267,12147
14309,4319
2427,5441
12779,3992
6677,5817
10751,4569
11384,1920
10948,12032
13935,17553
2963,7133
8546,16811
17338,2801
5490,8937
10424,6312
13136,14776
10508,9937
9171,3488
13302,2720
16105,3464
11883,8359
8575,7887
9008,8454
6123,9083
13970,5870
4860,5768
16272,1383
5417,3734
11501,3037
13502,11564
15377,8525
5679,345
15642,5033
3802,15952
11617,16619
226,12520
3191,7274
14322,2491
9111,8005
9569,920
8989,9641
15708,3734
10050,11594
9864,4935
5136,4958
12776,9392
2359,16534
6825,11853
2143,8481
1852,6626
9167,9341
10810,12078
13059,16911
9422,8457
13178,14707
7691,5167
16326,8727
5897,7314
3776,2720
10571,4328
11432,4899
8163,9392
3901,9239
15910,9587
7481,4309
7878,14911
4468,1067
8109,5656
3251,8481
9257,8005
4308,3812
16117,16911
6554,10879
3843,16029
17605,3336
12111,8481
15999,2673
16893,2466
2819,6450
16506,6312
14570,7424
13300,7905
9881,12078
682,5829
16524,3464
10669,14911
6708,14911
8679,9083
539,7154
8856,2637
3102,716
1591,17062
1004,13015
17461,6736
12174,11124
3318,9177
2943,514
16226,5283
839,17494
4346,3734
14069,13870
4987,7274
4544,5637
8705,1672
3108,17258
2580,6735
11379,13520
2529,6626
6879,1301
1684,4698
16214,9587
1213,9392
1470,7084
15987,13520
457,7154
14692,4754
15111,11124
2557,7419
8069,7419
17427,9587
10658,17063
4814,8525
8234,3545
457,8468
17678,8525
5900,12078
16748,2318
1916,12520
16497,920
12852,8481
12484,8481
16269,3734
14352,4328
2199,7419
10301,4698
3218,489
202,12520
13358,8481
10116,8481
7944,8466
9971,7372
15564,3201
14925,7419
14624,9392
5711,11573
2895,7058
12776,1538
16642,2656
1676,7905
4550,6736
5549,12404
2781,14173
12326,16683
13644,7133
6474,14911
5692,8157
4639,716
13066,1067
4645,2081
10215,2656
3873,7419
4194,7419
15097,12135
9665,9641
12598,2052
4779,3044
1192,14693
10057,514
11375,3336
14408,17019
10529,2151
4892,12135
10522,9184
1950,7084
9532,7133
15027,2821
1575,2821
3412,13890
17808,3514
976,4935
5635,1125
6573,7905
3329,11382
8369,3464
16618,2946
6814,1741
13516,2637
6540,1067
15211,15623
17504,6312
12630,3734
4180,14693
4145,17494
9881,4929
8240,7154
1215,16029
8074,12147
14606,3933
15088,6626
15056,1954
8866,5645
2267,2821
13293,5405
911,3514
70,514
16311,11789
15989,6369
14024,5635
14895,5328
496,8581
12684,2946
17587,8481
3025,6626
1146,1913
13119,3488
12070,14144
9071,6812
12768,11355
9736,16911
15868,454
9459,454
10772,7419
16445,11743
4317,15975
6118,9392
4364,11472
3010,489
8279,14173
14967,7419
4217,2637
12156,1017
17056,2656
13108,16911
1551,12520
15074,5656
14252,620
16109,6812
11815,8359
15942,4057
14079,16911
4518,6799
9465,3201
17294,3201
7057,86
13226,7133
17728,7084
4813,17044
12520,13890
3001,1538
6489,15975
1863,2656
12890,266
17769,5561
17118,16966
10964,7556
10155,3734
9086,3734
14318,14135
14507,5343
11689,5656
15426,15085
12612,13946
7836,11340
12648,2637
940,14173
7677,5768
5735,15975
2825,8109
5155,3734
13328,3514
10083,3514
11078,5879
17451,5283
7534,514
10691,10717
14758,5489
7997,4540
4010,6390
16933,7905
14492,7695
6218,14144
13867,4155
12747,7084
842,7084
13126,3734
620,7382
1263,9587
15615,7905
6463,15329
8625,16804
7628,3488
6025,8481
13405,2080
13936,12078
5740,14173
1799,17323
10122,16029
4170,1684
14980,1785
9219,12078
4891,12078
1317,3238
11884,7419
2250,5637
12587,1353
6557,17258
6811,10368
7424,17112
7934,4581
12494,11789
7265,8481
5475,5561
11666,7293
16000,2491
14063,7154
12996,5559
8602,8454
14436,7372
5668,8267
13479,5561
8975,4569
14723,7557
11907,17311
11546,7154
10547,8632
17606,5768
15639,4979
16750,3734
2794,5441
15050,6737
7019,5947
15953,5947
10050,6626
11937,8481
12751,8481
2882,9641
12672,11834
16419,12507
525,15085
