ComplexID,Organism,subunits,subunits(Gene name),Disease
533,Human,O00566;Q96G21;Q9NV31,MPHOSPH10;IMP4;IMP3,
535,Human,O60244;O75448;O75586;P10827;P24863;Q13503;Q15648;Q6P2C8;Q93074;Q9BTT4;Q9NPJ6;Q9NVC6;Q9UHV7;Q9Y2W1;Q9Y2X0;Q9Y3C7,MED14;MED24;MED6;THRA;CCNC;MED21;MED1;MED27;MED12;MED10;MED4;MED17;MED13;THRAP3;MED16;MED31,C0014175;C0000731;C0002871;C0009806;C0010308;C0013144;C0014175;C0019284;C0019322;C0019555;C0020534;C0020676;C0022346;C0024421;C0026827;C0037317;C0151686;C0151908;C0162119;C0232466;C0237326;C0239174;C0259817;C0456070;C0456132;C0541764;C0795690;C0878787;C1837385;C1845847;C1849075;C2940786;C3280817;C3552463;C4022846;C4072820;C4072821;C4072822;C4072825;C0014175;C2239176;C4277682;C0001807;C0003466;C0003706;C0004352;C0005744;C0005745;C0008297;C0008519;C0008924;C0008925;C0009806;C0009917;C0009918;C0010417;C0010701;C0011053;C0011570;C0011581;C0014544;C0018772;C0018784;C0018798;C0018817;C0018818;C0019294;C0019322;C0020255;C0020534;C0024433;C0025362;C0025990;C0026034;C0026827;C0028768;C0033578;C0033975;C0034194;C0036341;C0036572;C0037293;C0037822;C0037932;C0038379;C0039075;C0040433;C0041667;C0041696;C0042063;C0080276;C0085633;C0086437;C0150080;C0152021;C0158113;C0175754;C0206650;C0206686;C0220769;C0221210;C0221263;C0221354;C0221373;C0232466;C0237326;C0239234;C0239676;C0240295;C0240310;C0240379;C0240543;C0240635;C0241703;C0262374;C0262478;C0265529;C0265610;C0265974;C0333068;C0339789;C0349204;C0349588;C0423110;C0423867;C0423903;C0424295;C0424323;C0424731;C0426415;C0426422;C0426848;C0426891;C0431368;C0431659;C0454555;C0521525;C0548883;C0557874;C0566620;C0578038;C0600104;C0678230;C0685409;C0700208;C0796022;C0856747;C0917816;C1142533;C1184923;C1185616;C1262477;C1263023;C1263846;C1269683;C1317785;C1384666;C1398312;C1400105;C1450010;C1457883;C1458155;C1691215;C1834118;C1835807;C1836047;C1836189;C1836542;C1836996;C1837260;C1837463;C1837770;C1838705;C1839739;C1839764;C1839797;C1839798;C1843367;C1844806;C1844820;C1845847;C1845977;C1849121;C1849367;C1850530;C1854113;C1854301;C1854417;C1855751;C1857130;C1857278;C1858120;C1860493;C1860844;C1861324;C1861866;C1864897;C1865014;C1865017;C1866134;C1867131;C1867446;C1970777;C2051831;C2053437;C2267233;C2675540;C2677762;C2981150;C3275754;C3550546;C3553764;C3698541;C3714756;C3840083;C4020861;C4020874;C4020875;C4020876;C4020891;C4020895;C4021175;C4025127;C4025750;C4025763;C4072825;C4072830;C4072831;C4082243;C4083076;C4230640;C4255213;C4280304;C4280495;C4280597;C4280598;C4280617;C4280618;C4280629;C4280630;C4280640;C4280641;C4280642;C4280643;C4280663;C4280664;C4280807;C0014175;C0009024;C0011168;C0014175;C0014544;C0026838;C0036572;C0231246;C0232466;C0557874;C0598275;C0684276;C1847514;C1850456;C1864897;C1864985;C2315100;C3150921;C4020875;C4020899;C0014175
536,Human,P48995;Q13507;Q9HCX4,TRPC1;TRPC3;TRPC7,C0018800;C0005586;C0020538;C0231686;C0262404;C0740279;C1853562;C1864985;C4020873;C4225158;C0005586;C0853193
541,Human,P05019;P17936;P35858,IGF1;IGFBP3;IGFALS,C0000786;C0001206;C0001430;C0001969;C0002395;C0004352;C0005586;C0005695;C0005745;C0005944;C0008370;C0009319;C0010034;C0010346;C0011206;C0011303;C0011570;C0011581;C0011853;C0011854;C0014175;C0015934;C0018784;C0018800;C0019284;C0020429;C0020538;C0020619;C0021296;C0021655;C0022658;C0022661;C0023893;C0024032;C0024668;C0025362;C0025990;C0026106;C0026846;C0027626;C0027627;C0027746;C0029453;C0029456;C0031117;C0032019;C0033578;C0034013;C0034069;C0037286;C0041667;C0041755;C0085762;C0151744;C0231246;C0235991;C0239174;C0240295;C0262630;C0265610;C0266617;C0349588;C0423903;C0424295;C0424503;C0424688;C0452138;C0541764;C0566694;C0740392;C0747078;C0853897;C0857007;C0917816;C1262477;C1263846;C1385263;C1386048;C1458155;C1720887;C1836189;C1837475;C1843367;C1844806;C1850049;C1854301;C1855843;C1857130;C1857641;C1865866;C2315100;C2609414;C2752013;C3714756;C4020874;C4020876;C4020899;C4021768;C4021806;C4072832;C4072833;C4277682;C4280304;C4280538;C0000786;C0003873;C0004352;C0005695;C0007138;C0009404;C0023893;C0033578;C0038356;C0151744;C0018273;C0021655;C0023893;C0025990;C0034012;C0240295;C0311277;C0541764;C1835580;C1857130;C1864570;C3550204;C3900122;C4072897
547,Human,O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q6P2C8;Q93074;Q9NPJ6;Q9NVC6;Q9UHV7;Q9Y2W1;Q9Y2X0,MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED27;MED12;MED4;MED17;MED13;THRAP3;MED16,C0014175;C0014175;C2239176;C4277682;C0001807;C0003466;C0003706;C0004352;C0005744;C0005745;C0008297;C0008519;C0008924;C0008925;C0009806;C0009917;C0009918;C0010417;C0010701;C0011053;C0011570;C0011581;C0014544;C0018772;C0018784;C0018798;C0018817;C0018818;C0019294;C0019322;C0020255;C0020534;C0024433;C0025362;C0025990;C0026034;C0026827;C0028768;C0033578;C0033975;C0034194;C0036341;C0036572;C0037293;C0037822;C0037932;C0038379;C0039075;C0040433;C0041667;C0041696;C0042063;C0080276;C0085633;C0086437;C0150080;C0152021;C0158113;C0175754;C0206650;C0206686;C0220769;C0221210;C0221263;C0221354;C0221373;C0232466;C0237326;C0239234;C0239676;C0240295;C0240310;C0240379;C0240543;C0240635;C0241703;C0262374;C0262478;C0265529;C0265610;C0265974;C0333068;C0339789;C0349204;C0349588;C0423110;C0423867;C0423903;C0424295;C0424323;C0424731;C0426415;C0426422;C0426848;C0426891;C0431368;C0431659;C0454555;C0521525;C0548883;C0557874;C0566620;C0578038;C0600104;C0678230;C0685409;C0700208;C0796022;C0856747;C0917816;C1142533;C1184923;C1185616;C1262477;C1263023;C1263846;C1269683;C1317785;C1384666;C1398312;C1400105;C1450010;C1457883;C1458155;C1691215;C1834118;C1835807;C1836047;C1836189;C1836542;C1836996;C1837260;C1837463;C1837770;C1838705;C1839739;C1839764;C1839797;C1839798;C1843367;C1844806;C1844820;C1845847;C1845977;C1849121;C1849367;C1850530;C1854113;C1854301;C1854417;C1855751;C1857130;C1857278;C1858120;C1860493;C1860844;C1861324;C1861866;C1864897;C1865014;C1865017;C1866134;C1867131;C1867446;C1970777;C2051831;C2053437;C2267233;C2675540;C2677762;C2981150;C3275754;C3550546;C3553764;C3698541;C3714756;C3840083;C4020861;C4020874;C4020875;C4020876;C4020891;C4020895;C4021175;C4025127;C4025750;C4025763;C4072825;C4072830;C4072831;C4082243;C4083076;C4230640;C4255213;C4280304;C4280495;C4280597;C4280598;C4280617;C4280618;C4280629;C4280630;C4280640;C4280641;C4280642;C4280643;C4280663;C4280664;C4280807;C0014175;C0009024;C0011168;C0014175;C0014544;C0026838;C0036572;C0231246;C0232466;C0557874;C0598275;C0684276;C1847514;C1850456;C1864897;C1864985;C2315100;C3150921;C4020875;C4020899;C0014175
548,Human,O43513;O60244;O75448;O75586;O95402;P11473;P28702;Q15648;Q93074;Q9NPJ6;Q9NVC6;Q9UHV7;Q9ULK4;Q9Y2X0,MED7;MED14;MED24;MED6;MED26;VDR;RXRB;MED1;MED12;MED4;MED17;MED13;MED23;MED16,C0014175;C0002170;C0005586;C0005937;C0007138;C0011334;C0011351;C0014556;C0020502;C0020503;C0020538;C0020598;C0023176;C0023434;C0026827;C0029442;C0029456;C0033578;C0035579;C0036341;C0037268;C0037274;C0041948;C0042870;C0085682;C0086132;C0151686;C0151825;C0221204;C0221354;C0221358;C0231246;C0239174;C0241237;C0263505;C0266052;C0311394;C0342646;C0349588;C0392525;C0456070;C0544755;C0575081;C0750857;C0857973;C0878787;C1458155;C1833324;C1833325;C1833329;C1833331;C1833752;C1837081;C1837385;C1837402;C1838659;C1838662;C1838663;C1838664;C1839326;C1848538;C1848541;C1848924;C1849300;C1851854;C1854301;C1854928;C1855841;C1859461;C1865200;C2315100;C2700617;C3552463;C3805574;C3806283;C4020874;C4020899;C4020958;C4021524;C4021527;C4021735;C4021797;C4023801;C4025814;C4280456;C4280457;C4280482;C4280565;C4280623;C4280653;C4280654;C4280655;C4280656;C0038356;C1458155;C0014175;C2239176;C4277682;C0001807;C0003466;C0003706;C0004352;C0005744;C0005745;C0008297;C0008519;C0008924;C0008925;C0009806;C0009917;C0009918;C0010417;C0010701;C0011053;C0011570;C0011581;C0014544;C0018772;C0018784;C0018798;C0018817;C0018818;C0019294;C0019322;C0020255;C0020534;C0024433;C0025362;C0025990;C0026034;C0026827;C0028768;C0033578;C0033975;C0034194;C0036341;C0036572;C0037293;C0037822;C0037932;C0038379;C0039075;C0040433;C0041667;C0041696;C0042063;C0080276;C0085633;C0086437;C0150080;C0152021;C0158113;C0175754;C0206650;C0206686;C0220769;C0221210;C0221263;C0221354;C0221373;C0232466;C0237326;C0239234;C0239676;C0240295;C0240310;C0240379;C0240543;C0240635;C0241703;C0262374;C0262478;C0265529;C0265610;C0265974;C0333068;C0339789;C0349204;C0349588;C0423110;C0423867;C0423903;C0424295;C0424323;C0424731;C0426415;C0426422;C0426848;C0426891;C0431368;C0431659;C0454555;C0521525;C0548883;C0557874;C0566620;C0578038;C0600104;C0678230;C0685409;C0700208;C0796022;C0856747;C0917816;C1142533;C1184923;C1185616;C1262477;C1263023;C1263846;C1269683;C1317785;C1384666;C1398312;C1400105;C1450010;C1457883;C1458155;C1691215;C1834118;C1835807;C1836047;C1836189;C1836542;C1836996;C1837260;C1837463;C1837770;C1838705;C1839739;C1839764;C1839797;C1839798;C1843367;C1844806;C1844820;C1845847;C1845977;C1849121;C1849367;C1850530;C1854113;C1854301;C1854417;C1855751;C1857130;C1857278;C1858120;C1860493;C1860844;C1861324;C1861866;C1864897;C1865014;C1865017;C1866134;C1867131;C1867446;C1970777;C2051831;C2053437;C2267233;C2675540;C2677762;C2981150;C3275754;C3550546;C3553764;C3698541;C3714756;C3840083;C4020861;C4020874;C4020875;C4020876;C4020891;C4020895;C4021175;C4025127;C4025750;C4025763;C4072825;C4072830;C4072831;C4082243;C4083076;C4230640;C4255213;C4280304;C4280495;C4280597;C4280598;C4280617;C4280618;C4280629;C4280630;C4280640;C4280641;C4280642;C4280643;C4280663;C4280664;C4280807;C0014175;C0009024;C0011168;C0014175;C0014544;C0026838;C0036572;C0231246;C0232466;C0557874;C0598275;C0684276;C1847514;C1850456;C1864897;C1864985;C2315100;C3150921;C4020875;C4020899;C0025362;C0423903;C0917816;C1843367;C3280265;C3714756;C4020876;C4020899;C0014175
550,Human,P29474;Q03135;Q8IVI9,NOS3;CAV1;NOSTRIN,C0000832;C0001418;C0002395;C0003850;C0004153;C0004238;C0005586;C0007222;C0007785;C0008924;C0008925;C0010073;C0011570;C0011581;C0011853;C0011854;C0011860;C0011875;C0011881;C0014859;C0015934;C0018800;C0018801;C0019284;C0020456;C0020459;C0020473;C0020538;C0020541;C0020542;C0020545;C0021364;C0021655;C0021845;C0022116;C0023893;C0024117;C0027051;C0027055;C0032914;C0033578;C0034063;C0035126;C0038356;C0038358;C0041948;C0042514;C0042594;C0085580;C0151636;C0151744;C0242184;C0242350;C0243026;C0520459;C0524620;C0852036;C1458155;C1956346;C2609414;C0000889;C0001206;C0003862;C0003864;C0004238;C0004364;C0005937;C0007194;C0009024;C0009691;C0009917;C0009918;C0011168;C0011334;C0011849;C0011853;C0011859;C0013404;C0017168;C0017612;C0018800;C0018834;C0019209;C0019214;C0019572;C0020443;C0020458;C0020459;C0020538;C0020542;C0020598;C0020651;C0021655;C0023787;C0023893;C0025362;C0027498;C0027627;C0028738;C0028961;C0030305;C0033578;C0034013;C0034069;C0034935;C0035334;C0036341;C0037299;C0038325;C0038356;C0038990;C0043094;C0043352;C0085605;C0151786;C0206138;C0221204;C0234162;C0235896;C0235986;C0241267;C0266617;C0271650;C0271694;C0302501;C0333068;C0340543;C0349588;C0399526;C0423903;C0426870;C0427068;C0545053;C0595929;C0700590;C0748540;C0751837;C0917816;C0919267;C1258104;C1260926;C1280433;C1290857;C1384606;C1458155;C1522137;C1836296;C1836735;C1842060;C1843367;C1847584;C1847588;C1849211;C1850530;C1857657;C1861403;C1866241;C1866862;C1867423;C2227134;C2265792;C2675861;C2711227;C2973725;C3203102;C3277059;C3714745;C3714756;C4020876;C4020899;C4021910;C4022018;C4022020;C4025871;C4280623;C4280636;C4280637;C4280638;C4280639;C4280644;C4280645
551,Human,P04053;P62805;P68431;Q16777;Q16778;Q5QJE6,DNTT;H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;H2AC20;H2BC21;DNTTIP2,
552,Human,P01574;P17181;P48551,IFNB1;IFNAR1;IFNAR2,C0003463;C0005695;C0006111;C0007138;C0019163;C0025202;C0025205;C0026769;C0027659;C0027819;C0036572;C0206735;C1458155;C0042769;C0086132;C0338715;C0019163
553,Human,P48995;P61586;Q14643,TRPC1;RHOA;ITPR1,C0018800;C0005695;C0020981;C0027626;C0033687;C0038356;C0079772;C0079773;C0079774;C0235833;C0003076;C0005586;C0007758;C0025362;C0026650;C0026827;C0033578;C0266470;C0278184;C0423903;C0424448;C0431401;C0522198;C0557874;C0917816;C1527348;C1843367;C1847725;C1861732;C1864897;C3714756;C4020875;C4020876;C4020899;C4277682
554,Human,O96019;P51532;Q12824;Q68CP9;Q86U86;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5,ACTL6A;SMARCA4;SMARCB1;ARID2;PBRM1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1,C0006413;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0036920;C0037932;C0038379;C0039981;C0040427;C0149925;C0262444;C0262584;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C0919267;C1261473;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C2750074;C3279222;C3550546;C3553249;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495;C0007758;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0020255;C0021296;C0024433;C0025149;C0025362;C0026827;C0027498;C0028738;C0036572;C0037932;C0038379;C0040427;C0085632;C0149931;C0151786;C0206743;C0232466;C0234428;C0262444;C0265338;C0339789;C0348374;C0349588;C0375206;C0423903;C0424688;C0431109;C0557874;C0700208;C0744641;C0917816;C0917817;C1335929;C1384666;C1386048;C1832348;C1836327;C1836542;C1837770;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1849540;C1853487;C1853738;C1857108;C1860844;C1864897;C1868577;C2053437;C2674608;C2700617;C3279222;C3550546;C3553248;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4083076;C4255213;C4280495;C4280663;C4280664;C2239176;C0005586;C0007134;C0033975;C0036341;C0040100;C0206698;C0349204;C0001418;C0023893;C0024121;C0010417;C0010606;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0037932;C0038379;C0040427;C0262444;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C1333989;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C3279222;C3550546;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495
555,Human,O14497;O96019;P51532;Q12824;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5,ARID1A;ACTL6A;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1,C0001418;C0005695;C0006413;C0007138;C0010417;C0010606;C0010964;C0011053;C0014170;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0027819;C0028738;C0036572;C0036920;C0037932;C0038356;C0038379;C0040427;C0079772;C0079773;C0206698;C0262444;C0265338;C0279628;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C0920269;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2239176;C2674608;C2931822;C3279222;C3550546;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495;C0006413;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0036920;C0037932;C0038379;C0039981;C0040427;C0149925;C0262444;C0262584;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C0919267;C1261473;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C2750074;C3279222;C3550546;C3553249;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495;C0007758;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0020255;C0021296;C0024433;C0025149;C0025362;C0026827;C0027498;C0028738;C0036572;C0037932;C0038379;C0040427;C0085632;C0149931;C0151786;C0206743;C0232466;C0234428;C0262444;C0265338;C0339789;C0348374;C0349588;C0375206;C0423903;C0424688;C0431109;C0557874;C0700208;C0744641;C0917816;C0917817;C1335929;C1384666;C1386048;C1832348;C1836327;C1836542;C1837770;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1849540;C1853487;C1853738;C1857108;C1860844;C1864897;C1868577;C2053437;C2674608;C2700617;C3279222;C3550546;C3553248;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4083076;C4255213;C4280495;C4280663;C4280664;C0001418;C0023893;C0024121;C0010417;C0010606;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0037932;C0038379;C0040427;C0262444;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C1333989;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C3279222;C3550546;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495
556,Human,O96019;P51532;Q12824;Q68CP9;Q8TAQ2;Q92922;Q969G3;Q96GM5,ACTL6A;SMARCA4;SMARCB1;ARID2;SMARCC2;SMARCC1;SMARCE1;SMARCD1,C0006413;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0036920;C0037932;C0038379;C0039981;C0040427;C0149925;C0262444;C0262584;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C0919267;C1261473;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C2750074;C3279222;C3550546;C3553249;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495;C0007758;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0020255;C0021296;C0024433;C0025149;C0025362;C0026827;C0027498;C0028738;C0036572;C0037932;C0038379;C0040427;C0085632;C0149931;C0151786;C0206743;C0232466;C0234428;C0262444;C0265338;C0339789;C0348374;C0349588;C0375206;C0423903;C0424688;C0431109;C0557874;C0700208;C0744641;C0917816;C0917817;C1335929;C1384666;C1386048;C1832348;C1836327;C1836542;C1837770;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1849540;C1853487;C1853738;C1857108;C1860844;C1864897;C1868577;C2053437;C2674608;C2700617;C3279222;C3550546;C3553248;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4083076;C4255213;C4280495;C4280663;C4280664;C2239176;C0001418;C0023893;C0024121;C0010417;C0010606;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0037932;C0038379;C0040427;C0262444;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C1333989;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C3279222;C3550546;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495
557,Human,P29992;P48995;Q03135;Q14573,GNA11;TRPC1;CAV1;ITPR3,C0000737;C0002170;C0003467;C0003811;C0011581;C0018798;C0020438;C0020598;C0020649;C0025202;C0027709;C0030554;C0035305;C0085633;C0085681;C0151723;C0151908;C0154676;C0220633;C0259817;C0264886;C0346373;C0346379;C0346388;C0476403;C0522055;C0553706;C0855329;C0947912;C1832603;C1837388;C1840347;C1842820;C2673443;C3665386;C3698239;C3715128;C3809243;C3838883;C3839296;C4020884;C4021782;C4280679;C0018800;C0000889;C0001206;C0003862;C0003864;C0004238;C0004364;C0005937;C0007194;C0009024;C0009691;C0009917;C0009918;C0011168;C0011334;C0011849;C0011853;C0011859;C0013404;C0017168;C0017612;C0018800;C0018834;C0019209;C0019214;C0019572;C0020443;C0020458;C0020459;C0020538;C0020542;C0020598;C0020651;C0021655;C0023787;C0023893;C0025362;C0027498;C0027627;C0028738;C0028961;C0030305;C0033578;C0034013;C0034069;C0034935;C0035334;C0036341;C0037299;C0038325;C0038356;C0038990;C0043094;C0043352;C0085605;C0151786;C0206138;C0221204;C0234162;C0235896;C0235986;C0241267;C0266617;C0271650;C0271694;C0302501;C0333068;C0340543;C0349588;C0399526;C0423903;C0426870;C0427068;C0545053;C0595929;C0700590;C0748540;C0751837;C0917816;C0919267;C1258104;C1260926;C1280433;C1290857;C1384606;C1458155;C1522137;C1836296;C1836735;C1842060;C1843367;C1847584;C1847588;C1849211;C1850530;C1857657;C1861403;C1866241;C1866862;C1867423;C2227134;C2265792;C2675861;C2711227;C2973725;C3203102;C3277059;C3714745;C3714756;C4020876;C4020899;C4021910;C4022018;C4022020;C4025871;C4280623;C4280636;C4280637;C4280638;C4280639;C4280644;C4280645;C0011854
558,Human,Q96QT4;Q9BX84,TRPM7;TRPM6,C0001430;C0009376;C0009404;C0022650;C0023890;C0522224;C0543859;C1865974
559,Human,P26196;Q6P2E9;Q8IU60;Q96F86;Q9NPI6,DDX6;EDC4;DCP2;EDC3;DCP1A,C0003873;C4225319
561,Human,O15116;P62310;P62312;Q9UK45;Q9Y333;Q9Y4Y9;Q9Y4Z0,LSM1;LSM3;LSM6;LSM7;LSM2;LSM5;LSM4,C0032460
562,Human,O95777;P62310;P62312;Q9UK45;Q9Y333;Q9Y4Y9;Q9Y4Z0,LSM8;LSM3;LSM6;LSM7;LSM2;LSM5;LSM4,C0032460
563,Human,O75947;O75964;P00846;P03928;P05496;P06576;P18859;P24539;P25705;P30049;P36542;P48047;P56134;P56381;P56385;Q9UII2,ATP5PD;ATP5L;MT-ATP6;MT-ATP8;ATP5G1;ATP5F1B;ATP5PF;ATP5PB;ATP5F1A;ATP5F1D;ATP5F1C;ATP5PO;ATP5MF;ATP5F1E;ATP5ME;ATP5IF1,
564,Human,O14497;O96019;P51531;Q12824;Q8TAQ2;Q92922;Q969G3;Q96GM5,ARID1A;ACTL6A;SMARCA2;SMARCB1;SMARCC2;SMARCC1;SMARCE1;SMARCD1,C0001418;C0005695;C0006413;C0007138;C0010417;C0010606;C0010964;C0011053;C0014170;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0027819;C0028738;C0036572;C0036920;C0037932;C0038356;C0038379;C0040427;C0079772;C0079773;C0206698;C0262444;C0265338;C0279628;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C0920269;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2239176;C2674608;C2931822;C3279222;C3550546;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495;C0001807;C0010417;C0010606;C0014544;C0015934;C0021296;C0024433;C0036341;C0036572;C0036857;C0221357;C0231246;C0265338;C0345967;C0424323;C0424688;C0746940;C0877165;C1303073;C1386048;C1457883;C1835884;C1837084;C1839739;C1840069;C1840077;C1842366;C1848207;C1849020;C1849667;C1853246;C1854111;C1854882;C1857042;C1859115;C1865014;C1866234;C2053437;C2315100;C4280574;C0007758;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0020255;C0021296;C0024433;C0025149;C0025362;C0026827;C0027498;C0028738;C0036572;C0037932;C0038379;C0040427;C0085632;C0149931;C0151786;C0206743;C0232466;C0234428;C0262444;C0265338;C0339789;C0348374;C0349588;C0375206;C0423903;C0424688;C0431109;C0557874;C0700208;C0744641;C0917816;C0917817;C1335929;C1384666;C1386048;C1832348;C1836327;C1836542;C1837770;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1849540;C1853487;C1853738;C1857108;C1860844;C1864897;C1868577;C2053437;C2674608;C2700617;C3279222;C3550546;C3553248;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4083076;C4255213;C4280495;C4280663;C4280664;C0001418;C0023893;C0024121;C0010417;C0010606;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0037932;C0038379;C0040427;C0262444;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C1333989;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C3279222;C3550546;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495
