ComplexID,Organism,subunits,subunits(Gene name),Disease
27,Human,O15143;O15144;O15145;O15511;P59998;P61158;P61160,ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2,C0023893;C0009324;C0036341
30,Human,Q06323;Q9UL46,PSME1;PSME2,C0019693;C0024667;C0024668;C0279626;C0019693;C0023893;C0279626
32,Human,O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6,PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13,C0011616;C0019693;C0019693;C0019693;C0019693;C0038325;C0011860;C0019693;C0019693
36,Human,O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2,C0001807;C0010417;C0019294;C0020255;C0023882;C0023893;C0026351;C0026827;C0037932;C0038379;C0152421;C0235946;C0240635;C0270685;C0424323;C0554972;C0557874;C0575081;C0700208;C0796254;C0856975;C1457883;C1510586;C1835581;C1836047;C1845847;C1848207;C1848570;C1850189;C1855062;C1860838;C1861324;C1864897;C3278923;C3279222;C4020875;C4072825;C4083076;C4255213;C4280574;C4280663;C4280664;C0008370;C0008372;C0011053;C0011991;C0016382;C0018772;C0020757;C0021831;C0023794;C0023890;C0025362;C0026827;C0031117;C0041834;C0151686;C0239676;C0239946;C0240997;C0268070;C0339789;C0423109;C0423903;C0442874;C0456070;C0557874;C0870082;C0878787;C0917816;C1384666;C1836330;C1837385;C1843367;C1864897;C2677762;C2752013;C3552463;C3714756;C4020875;C4020876;C4020899;C0030246;C0343055;C4015235
45,Human,P49768;Q92542;Q96BI3;Q9NZ42,PSEN1;NCSTN;APH1A;PSENEN,C0001807;C0002018;C0002395;C0002726;C0002736;C0003467;C0003635;C0004045;C0007193;C0011168;C0011570;C0011581;C0013362;C0013421;C0013528;C0014544;C0015371;C0017639;C0018801;C0018802;C0020505;C0023015;C0023186;C0025261;C0027066;C0027746;C0034935;C0036572;C0038002;C0038271;C0038273;C0039070;C0085400;C0085632;C0162836;C0232461;C0233794;C0234133;C0234144;C0235946;C0236642;C0240735;C0242422;C0263006;C0338451;C0338455;C0338462;C0424290;C0424296;C0424304;C0424323;C0474420;C0476254;C0497327;C0524851;C0542223;C0542476;C0575059;C0575081;C0751295;C0751706;C0948163;C0973461;C1411876;C1457883;C1836696;C1836940;C1838319;C1838320;C1838681;C1840560;C1843013;C1843015;C1848207;C1850496;C1850776;C1853237;C1853562;C1863051;C2675334;C2700617;C3160720;C3715165;C3809288;C3887611;C4011788;C4020851;C4020871;C4020884;C4021584;C4021799;C4021957;C4022798;C4023470;C4023521;C4024936;C4024956;C4072928;C4280380;C4280574;C4280576;C0002395;C0162836;C1840560;C4021786;C1840560
49,Human,O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3,SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B,C0279980;C0014544;C0025362;C0036572;C0423903;C0917816;C1843367;C1845977;C1848207;C3714756;C4020876;C4280574;C0023893;C0007137;C0014175;C0018799;C0036341;C0340543;C0525045;C0001807;C0003079;C0003706;C0004352;C0010417;C0011053;C0013336;C0014306;C0015934;C0018772;C0019294;C0020224;C0020255;C0020490;C0020534;C0020619;C0021051;C0021296;C0021828;C0023012;C0024032;C0025362;C0025958;C0026010;C0026034;C0026827;C0028738;C0028754;C0037317;C0037932;C0038379;C0086437;C0151686;C0152421;C0175754;C0221263;C0221357;C0233715;C0235833;C0235991;C0239676;C0239998;C0240063;C0240379;C0240635;C0240701;C0241210;C0265610;C0265660;C0265974;C0266435;C0266589;C0277873;C0339789;C0349588;C0376634;C0423109;C0423110;C0423224;C0423903;C0424295;C0424323;C0424688;C0424731;C0426414;C0426421;C0431369;C0431890;C0454644;C0456070;C0554972;C0557874;C0578038;C0678230;C0700208;C0878787;C0917816;C1142533;C1263846;C1306710;C1384666;C1386048;C1457883;C1510586;C1691215;C1832446;C1834055;C1835581;C1836047;C1836189;C1836550;C1836830;C1837385;C1837404;C1837463;C1837514;C1839039;C1839546;C1839739;C1839764;C1840077;C1843108;C1843367;C1844562;C1844809;C1844813;C1845447;C1846460;C1848570;C1849121;C1849367;C1850189;C1850493;C1850667;C1853237;C1854113;C1854114;C1855009;C1855019;C1855062;C1855996;C1857121;C1859678;C1860838;C1862095;C1864897;C1865014;C1865572;C1866210;C1868571;C2053437;C2674608;C2677762;C3150674;C3276036;C3552463;C3553764;C3697269;C3714756;C3714796;C4020849;C4020875;C4020876;C4020892;C4021029;C4021776;C4021797;C4025697;C4049796;C4230640;C4280304;C4280625;C4280808;C0002871;C0006267;C0008677;C0009451;C0011991;C0020534;C0021051;C0024312;C0024421;C0025362;C0025990;C0030469;C0032285;C0033578;C0036341;C0037199;C0038356;C0086438;C0162119;C0231246;C0239234;C0240295;C0241442;C0349588;C0376628;C0376634;C0398788;C0423903;C0426414;C0427515;C0525045;C0557874;C0678230;C0917816;C1458155;C1510586;C1656427;C1834671;C1836542;C1840077;C1843367;C1853241;C1854114;C1855204;C1857130;C1858085;C1859424;C1864897;C2315100;C2931322;C3550546;C3714745;C3714756;C3806482;C4020875;C4020876;C4020899;C4048270;C4083076;C4255213;C4280495;C4280651;C4280663;C4280664
50,Human,P20339;Q15276;Q9UJ41,RAB5A;RABEP1;RABGEF1,C0151744
55,Human,P27361;P56524,MAPK3;HDAC4,C0007137;C0007786;C0011570;C0011581;C0017639;C0018671;C0020429;C0020564;C0021361;C0022665;C0024121;C0027626;C0027627;C0027746;C0033578;C0036341;C0038356;C0038587;C0040997;C0155862;C0236736;C0243026;C0333641;C0878544;C0919267;C1866282;C0005695;C0011570;C0011616;C0013595;C0014306;C0014544;C0019322;C0025362;C0026827;C0028754;C0036341;C0036572;C0221352;C0221354;C0221357;C0236736;C0239479;C0265660;C0266011;C0340543;C0345967;C0349588;C0423109;C0423224;C0423903;C0424688;C0525045;C0557874;C0575802;C0578038;C0917816;C1827524;C1832446;C1834055;C1836542;C1837084;C1840077;C1843108;C1843367;C1848673;C1850049;C1851059;C1853242;C1856468;C1857042;C1862095;C1862102;C1864897;C1866195;C1868571;C2673410;C2931817;C3550546;C3553764;C3714756;C4020849;C4020875;C4020876;C4049796;C4280320;C4280321;C4280365;C4280495;C4280538
57,Human,P28482;P56524,MAPK1;HDAC4,C0005586;C0007137;C0007786;C0014306;C0015934;C0016202;C0017639;C0018671;C0020429;C0020564;C0021296;C0021361;C0022665;C0023015;C0024121;C0025362;C0027626;C0027627;C0027746;C0036341;C0036920;C0038356;C0038587;C0040997;C0151526;C0155862;C0178417;C0233315;C0236736;C0243026;C0264133;C0349588;C0423224;C0423903;C0424688;C0557874;C0878544;C0917816;C0919267;C1142533;C1386048;C1834055;C1843367;C1844505;C1844554;C1844555;C1850049;C1864897;C1865017;C1866282;C1868571;C2678480;C3495559;C3714756;C4020849;C4020867;C4020875;C4020876;C4021808;C4280538;C0005695;C0011570;C0011616;C0013595;C0014306;C0014544;C0019322;C0025362;C0026827;C0028754;C0036341;C0036572;C0221352;C0221354;C0221357;C0236736;C0239479;C0265660;C0266011;C0340543;C0345967;C0349588;C0423109;C0423224;C0423903;C0424688;C0525045;C0557874;C0575802;C0578038;C0917816;C1827524;C1832446;C1834055;C1836542;C1837084;C1840077;C1843108;C1843367;C1848673;C1850049;C1851059;C1853242;C1856468;C1857042;C1862095;C1862102;C1864897;C1866195;C1868571;C2673410;C2931817;C3550546;C3553764;C3714756;C4020849;C4020875;C4020876;C4049796;C4280320;C4280321;C4280365;C4280495;C4280538
58,Human,O15379;O60907;Q13227;Q9BZK7;Q9Y618,HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2,C0018799;C0036341;C1510586;C0023487;C0345967;C1865644;C0005586;C0023893
