LECT2,KRTAP10-7
BVES,NFKB1
DCAKD,HSP90AB1
PSTPIP1,XRCC5
FEZ2,NONO
ARR3,FOXB1
DPP3,KRTAP10-3
IGHG4,IKBKG
NMRAL1,TMEM17
SERBP1,FATE1
CMTM3,NFKB1
SEZ6,PAK1
EML4,PRPF8
ERO1A,RBPMS
BRICD5,TMEM79
ABT1,HIST1H3A
ERP29,COL7A1
ANKRD49,THUMPD1
CCL4L2,HMOX1
IRX1,APP
ETV7,HSP90AA1
CTNNB1,VPS52
CSRP1,AIM2
PPFIBP1,HLA-B
KATNB1,PYHIN1
CTCFL,UBQLN1
TRIM6,APP
SELL,CDK4
HOXB4,CALM1
MROH6,DDX3X
PON2,RBPMS
TRIML2,SOX2
CMAS,MEOX2
CYP2C19,LMAN1
ECH1,TADA2A
LRRC7,MAPK14
STATH,APP
TNFSF18,SRC
FAM98B,TMEM17
DCAF13,GH1
MBTD1,TP53RK
ZMYM3,MEOX2
RARS2,LNX1
KLKB1,PITX3
ZNF468,KRTAP10-8
FKBP9,PTN
AMPD3,PML
EMC7,PAXIP1
GHRH,SFTPC
CHD6,PSMD2
UBLCP1,KRTAP10-7
OGT,SREK1
ADRB2,GMCL1
KRTAP10-8,CTTN
NRP1,LNX1
CCNYL1,XRCC6
APOC2,ARRB1
UNC93B1,KRT40
TMEM37,TRAF6
POU2F2,COL7A1
DERA,REL
RSBN1L,REL
SLC16A5,HSP90AB1
LRRN4CL,FN1
TRAPPC2L,NONO
THG1L,HIST1H3A
NOXA1,PSMA3
TRIM24,WDYHV1
TAZ,KRT40
F7,COPS6
RGS20,HBZ
TTC26,KRTAP10-3
ZNF473,HSPA4
PAGR1,PYHIN1
DNAJC1,HNRNPK
MYO7B,TADA2A
PPP1R2P9,DHX9
VASN,RPS6KA5
DNAJA2,FAM9B
ERAP2,TCTN2
KIR3DX1,AES
PSMC3IP,HTT
RPL22,PRMT6
LAMP3,XRCC5
NUDT18,TPD52L2
MEFV,RPS11
KCNJ5,MAPK1
ANP32C,FOXL1
ITGB5,FASTKD3
FAM83A,APP
HIST1H3H,SHC1
MAB21L2,SHC1
TMEM205,TARDBP
PGRMC2,CDK4
PAIP2,PRPF8
GHRHR,GNB2L1
LECT2,HTT
PRR20A,XRCC6
PPIG,SIRT4
LYZL1,GRAMD1A
CST1,YWHAZ
ZNF235,MEOX2
ZBTB48,CUL2
UBE2V1,AGO2
RPLP0,CEP19
HIF1A,NDUFA2
BRD7,KHSRP
PTPRZ1,RPS6KA1
GPR20,RPL13
MYOCD,PCBP1
RNF214,METTL18
APOOL,CTNNB1
CCDC167,CLK2
PRKAG2,HDAC8
PDGFD,TMEM17
NEUROD4,BUB1
GATAD2A,GH1
CARTPT,PTCHD2
KCNA5,RPS27A
AP1AR,HSP90AB1
ZNF407,KRTAP10-8
GRB7,LGALS3BP
HSCB,APP
HOMER2,XRCC6
TIMM21,TADA2A
UBA52,VKORC1
TNKS1BP1,MED19
RSRC1,CDK1
FAM189A1,CUL3
SIRT4,HIST1H3A
MEDAG,HDAC5
SUMF2,LIG4
IL4,STAT3
PIK3R2,FOXB1
POLR1B,KRTAP10-3
IL18R1,SRC
SERF1A,PSMD2
PIGO,TMEM17
GALNT15,PSMD4
HSCB,H2AFZ
SRXN1,RPS3A
ADIRF,MAP1LC3B
MIOS,REL
GPR1,RAP1GAP
USP47,LNX1
DDX4,UBE2L3
CHRNG,KRT40
AGXT2,HRAS
EHD1,PSMB1
CCP110,AEN
CYP4A11,SMAD3
KMT2E,TRAF6
TFRC,FOXL1
IL22,HSP90AA1
C1QL3,HSP90AA1
ADGRE2,HSP90AB1
SLC35B3,OTUB1
ROR1,RPS6KA5
HOXA5,HTT
SCNN1A,KRTAP10-3
MAFF,MDFI
ST8SIA4,NRF1
EMX2,HDAC5
SYNDIG1,HSPB1
FAM131B,ELAVL1
GIN1,LIG4
MRPL48,KRTAP10-3
FZD2,MEOX2
MAX,H2AFV
SMARCD1,MPP3
RAB11B,CBX8
SCG5,AKT1
ICA1,OTUB1
RPUSD2,NFKB1
LTBP4,CDK4
SETD2,FASTKD3
VPS52,PHKG2
UBLCP1,HTT
DEDD,AP2M1
LDOC1L,SMURF2
HERC2,TCTN3
ADAMTSL4,MAP1LC3A
PSORS1C2,SRC
PF4,APP
PI3,CSNK2B
SGSM2,RPL18A
NPVF,LCK
KIAA0513,MYC
KLRK1,RPA1
GSTM4,MEOX2
SETD8,PRPF4
FKBP10,KRTAP10-3
PRR5,VKORC1
CA4,PSMD2
SEC22B,TP73
TGM2,CCDC136
PDLIM2,MNDA
CORO2B,MYC
POU5F1,MEOX2
DPPA3,VIM
SP5,CREBBP
EEF2K,GAB1
PRDM1,JMJD6
PGP,FYN
RAB35,TMEM17
EVPL,PAXIP1
SSX3,MTUS2
SNAP25,TCEB2
GRIN1,RPL17
PSKH2,PARP1
ANKH,TMEM17
COX7A2,TMEM17
SCN3A,CUL3
CFAP52,RPS3A
FAM101B,DISC1
CDCA8,DISC1
NXN,LNX1
DDX50,LNX1
TGFA,LRRK2
ARID4B,SGK1
PNISR,HDAC5
BBOX1,DSTN
TIMM13,HDAC8
HES1,PAICS
PAQR4,HSP90AB1
MAGEA9,HSP90AB1
RIMS2,ICT1
GSTM5,HTT
DHFR,SGK1
ACAP1,UBE2L3
CHRM1,FLNA
CALU,KRTAP10-3
GABBR2,YWHAG
SOX17,FN1
SCEL,PPP1CA
MAP3K4,KRTAP10-9
EVI5,HIST1H4A
TMEM35,NRF1
CTXN1,AEN
DNTT,USHBP1
ITGA9,MET
HSD11B2,APP
ASF1A,ARRB2
CYP39A1,CASP8
SSTR5,HSP90AA1
SKI,HTR7
TULP4,SMAD4
TBC1D3B,NRF1
PPP1R1C,CDK2
HOXD3,KRTAP10-7
GOSR1,LIG4
CD300C,ATF4
NMNAT1,SOX2
NCOR2,TMEM216
PDCD6IP,TCTN1
ATF4,RAD52
WNT8A,TMEM17
TAF11,TMEM17
GKN2,NCOA2
EPHA5,PPP1CC
CYB5R1,LIG4
GINS1,SOX2
SYT9,RPS27A
CST6,SUMO2
NLK,CEP19
RNF152,UBE2E3
KIF26B,KRT40
PIGW,FYN
COX11,PAXIP1
ZFYVE1,XRCC5
TMSB4XP2,ADAMTSL4
CMKLR1,CREB3
CAD,GRIN1
MUSTN1,HNRNPK
NDUFB4,UBL4A
SMAD7,CASP4
COL5A3,COL4A1
PYGL,GRK5
NFAT5,PSMA6
TBC1D23,PYHIN1
EVI5L,UBE2I
ARL6IP5,PSMD2
PLCB3,MAPKAPK2
C16orf74,NRF1
RP9,RPS3A
LIPG,NFKB1
BRAF,TMEM216
OPTC,PTPRJ
LIM2,GC
ZNF397,EEF1A1
FBXO28,NCOA3
H2BFM,IL17RB
PRPF40B,OTUB1
ZFAT,JUN
NR4A2,SRPK2
IGLC1,APCS
NR1H2,HNRNPA2B1
DUPD1,MYC
COX6B2,SCNM1
ABCC10,UQCRH
SYNPO,PML
PAPLN,AKT1
EVPL,TCTN1
JMY,TARDBP
SAA1,KNG1
PAFAH1B3,MAP3K5
TIMP2,DHX9
ART3,PDK3
CASC1,CSNK2A1
PAAF1,DHX15
IDH1,LIG4
TMEM177,HSPA9
HIST1H2AG,MMGT1
RBP2,VCP
ATRIP,CENPJ
AARSD1,KHSRP
NDEL1,RPL10L
FAM9C,ZDHHC17
CA1,KRT40
MAP3K4,PRPF8
SLF1,PHKG2
SSX4,GSK3B
ZCCHC24,PRKDC
RUSC2,MNDA
TMEM180,LIG4
WDR92,SF3B3
KRTAP10-11,BAG3
GBA2,ITGA4
SERINC1,KRTAP10-7
STAT4,EIF1B
LIMS2,EXOSC4
FREM2,TMEM17
MYO10,FYN
TRMT10B,POU2F1
ZNF85,KRTAP10-3
GPATCH2,SUMO2
RPP30,APOA1
DTWD2,UBL4A
KRT8,AICDA
SNAPIN,GH1
GPR143,ACTR2
PDCD1,AKT1
CACTIN,HNRNPA1
ARHGEF16,FUS
PPTC7,KRTAP10-7
GLYCTK,RUVBL2
SSB,KRTAP10-8
NID1,BTRC
PYCR1,TADA2A
IGF2BP2,VKORC1
CD14,IKBKG
VIPR1,TMEM17
PSG2,GSK3B
POC1A,PABPC1
NRIP3,SUMO2
CYCS,KRTAP10-5
SCARB1,HIST1H3A
VSIG8,HDAC5
DHX16,TMEM17
SUV39H2,WWOX
MMP16,IGF1R
FKBP5,CLINT1
HEATR4,MYC
RPS23,ATXN1
ITIH5,PAXIP1
MAGOH,KRTAP10-3
OSBPL2,SMAD3
PKIB,TCTN1
NCAPH2,TADA2A
HTATIP2,TADA2A
VPS54,DHX9
CECR2,CDK4
ICOS,NRF1
LTB4R,CALM1
MSH6,RBPMS
SLC10A1,RPRD2
OXSM,ELAVL1
CTNNBL1,C2orf44
CCNB1,C1orf94
VAMP8,MEOX2
ANGPT4,MAPK1
GSTO2,XRCC6
ESRRB,LIG4
DSN1,CCDC85B
GHR,PRPF8
SLC22A6,FN1
PCDHA3,MAPK14
TBX6,MDFI
HSF4,EIF6
DNTTIP1,AP2M1
ADGRG1,FYN
PICALM,PBK
CHM,RPL13
REEP4,KRTAP10-8
CRK,KRTAP10-7
CLPTM1L,HDAC8
RANBP6,AP2M1
MAGEA9,CDK4
