ComplexID,Organism,subunits(UniProt IDs),subunits(Gene name)
115,Human,O00257;O60264;P0DMV8;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52,CBX4;SMARCA5;HSPA1A;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8
116,Human,O00257;O60264;P0DMV8;P25490;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52,CBX4;SMARCA5;HSPA1A;YY1;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8
117,Human,P29992;P50148;P60033;P62873;Q9Y653,GNA11;GNAQ;CD81;GNB1;ADGRG1
118,Human,P37287;Q14442;Q92535;Q9BRB3,PIGA;PIGH;PIGC;PIGQ
120,Human,P01374;P36941;Q06643,LTA;LTBR;LTB
123,Human,O75817;O75818;O95059;O95707;P78345;P78346;Q969H6;Q99575;Q9BUL9;Q9H633,POP7;RPP40;RPP14;POP4;RPP38;RPP30;POP5;POP1;RPP25;RPP21
126,Human,P17987;P40227;P48643;P49368;P50990;P50991;P78371;Q99832,TCP1;CCT6A;CCT5;CCT3;CCT8;CCT4;CCT2;CCT7
127,Human,O14777;Q8NBT2;Q9BZD4;Q9HBM1,NDC80;SPC24;NUF2;SPC25
129,Human,P42575;P78560;Q9HB75,CASP2;CRADD;PIDD1
138,Human,P54274;Q15554;Q96AP0;Q9BSI4;Q9NUX5;Q9NYB0,TERF1;TERF2;ACD;TINF2;POT1;TERF2IP
140,Human,P25791;Q02577;Q86U70;Q9BXY8,LMO2;NHLH2;LDB1;BEX2
142,Human,P35613;P49768;Q92542;Q96BI3;Q9NZ42,BSG;PSEN1;NCSTN;APH1A;PSENEN
143,Human,O00213;P05067;Q07954,APBB1;APP;LRP1
144,Human,O43747;O75843;P56377;P61966;Q10567;Q63HQ0;Q96PC3;Q9BXS5;Q9Y6Q5,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2
149,Human,O96019;P51532;P60709;Q12824;Q68CP9;Q86U86;Q8TAQ2;Q92922;Q969G3;Q96GM5,ACTL6A;SMARCA4;ACTB;SMARCB1;ARID2;PBRM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1
152,Human,P29083;P29084,GTF2E1;GTF2E2
153,Human,P13984;P35269,GTF2F2;GTF2F1
155,Human,O00268;P20226;P21675;P49848;Q12962;Q15542;Q15544;Q16594;Q6P1X5,TAF4;TBP;TAF1;TAF6;TAF10;TAF5;TAF11;TAF9;TAF2
156,Human,P57678;Q86TM6;Q9BUN8,GEMIN4;SYVN1;DERL1
159,Human,O95347;P09874;P18887;Q15003;Q15021;Q9BPX3;Q9NTJ3,SMC2;PARP1;XRCC1;NCAPH;NCAPD2;NCAPG;SMC4
160,Human,O95347;P42695;Q6IBW4;Q86XI2;Q9NTJ3,SMC2;NCAPD3;NCAPH2;NCAPG2;SMC4
162,Human,P83436;Q14746;Q8WTW3;Q96JB2;Q96MW5;Q9H9E3;Q9UP83;Q9Y2V7,COG7;COG2;COG1;COG3;COG8;COG4;COG5;COG6
164,Human,O60216;Q14683;Q8WVM7;Q9UQE7,RAD21;SMC1A;STAG1;SMC3
166,Human,O60216;Q14683;Q8N3U4;Q9UQE7,RAD21;SMC1A;STAG2;SMC3
168,Human,O14964;O75886;P42566,HGS;STAM2;EPS15
169,Human,O14964;P42566;Q92783,HGS;EPS15;STAM
173,Human,O60934;P49959;Q92878,NBN;MRE11;RAD50
178,Human,O00217;O00483;O14561;O15239;O43181;O43674;O43676;O43677;O43678;O43920;O75251;O75306;O75380;O75438;O75489;O95139;O95167;O95168;O95169;O95178;O95182;O95298;O95299;O96000;P03886;P03891;P03897;P03901;P03915;P03923;P17568;P19404;P28331;P49821;P51970;P56181;P56556;Q16718;Q16795;Q86Y39;Q9NX14;Q9P0J0;Q9UI09;Q9Y6M9,NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND5;MT-ND6;NDUFB7;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA13;NDUFA12;NDUFB9
180,Human,P62136;Q96QC0,PPP1CA;PPP1R10
