ComplexID,Organism,subunits(UniProt IDs),subunits(Gene name)
1243,Human,O43791;Q13618;Q9UER7,SPOP;CUL3;DAXX
1245,Human,P60510;Q9NY27,PPP4C;PPP4R2
1248,Human,O14727;P99999,APAF1;CYCS
1250,Human,P06400;Q01094,RB1;E2F1
1251,Human,O14497;O96019;P51531;Q12824;Q8TAQ2;Q92922;Q969G3;Q96GM5,ARID1A;ACTL6A;SMARCA2;SMARCB1;SMARCC2;SMARCC1;SMARCE1;SMARCD1
1252,Human,O14497;O96019;P51532;Q03111;Q12824;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5,ARID1A;ACTL6A;SMARCA4;MLLT1;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1
1254,Human,O00255;P30876;P61964;Q15291;Q9C005;Q9UBL3;Q9UMN6,MEN1;POLR2B;WDR5;RBBP5;DPY30;ASH2L;KMT2B
1255,Human,O60907;P63208;Q8IUQ4;Q9HB71,TBL1X;SKP1;SIAH1;CACYBP
1256,Human,O00255;P05546;P51610;P61964;Q03164;Q15291;Q9UBL3,MEN1;SERPIND1;HCFC1;WDR5;KMT2A;RBBP5;ASH2L
1257,Human,O00422;O60264;O60341;O75446;O94776;O95983;P20226;P21675;P49848;P51531;P61964;P62826;Q03164;Q09028;Q12824;Q12873;Q13547;Q15029;Q15291;Q16514;Q16576;Q16594;Q8TAQ2;Q92769;Q92797;Q92922;Q96ST3;Q9P2I0,SAP18;SMARCA5;KDM1A;SAP30;MTA2;MBD3;TBP;TAF1;TAF6;SMARCA2;WDR5;RAN;KMT2A;RBBP4;SMARCB1;CHD3;HDAC1;EFTUD2;RBBP5;TAF12;RBBP7;TAF9;SMARCC2;HDAC2;SYMPK;SMARCC1;SIN3A;CPSF2
1258,Human,P62877;P63208;Q8N3Y1;Q92990,RBX1;SKP1;FBXW8;GLMN
1259,Human,Q09028;Q13111;Q13112,RBBP4;CHAF1A;CHAF1B
1260,Human,P62877;P63208;Q13616;Q86XK2,RBX1;SKP1;CUL1;FBXO11
1261,Human,P08621;P09661;P62995;Q8IYB3;Q9UQ35,SNRNP70;SNRPA1;TRA2B;SRRM1;SRRM2
1287,Human,P31943;P52597,HNRNPH1;HNRNPF
1288,Human,P26599;P31943;P52597;Q9UKA9,PTBP1;HNRNPH1;HNRNPF;PTBP2
1293,Human,O94829;P61326;Q9Y5S9,IPO13;MAGOH;RBM8A
1296,Human,Q8IU60;Q9NPI6,DCP2;DCP1A
1297,Human,P32121;P45985;Q99683,ARRB2;MAP2K4;MAP3K5
1298,Human,P32121;P45985;P53779,ARRB2;MAP2K4;MAPK10
1299,Human,Q16584;Q7Z6J0,MAP3K11;SH3RF1
1300,Human,O60894;Q16602,RAMP1;CALCRL
1301,Human,O60894;Q16602,RAMP1;CALCRL
1306,Human,Q13526;Q14103-1,PIN1;HNRNPD
1307,Human,O60506;O75534;P11940;Q14103;Q9H074,SYNCRIP;CSDE1;PABPC1;HNRNPD;PAIP1
1308,Human,P11142;P11940;Q04637;Q14103;Q59EJ3,HSPA8;PABPC1;EIF4G1;HNRNPD;None
1317,Human,P17544;Q16514,ATF7;TAF12
1318,Human,P20226;P21675;Q15542;Q15544;Q16514,TBP;TAF1;TAF5;TAF11;TAF12
1321,Human,P20226;P49848;Q15542;Q15544;Q16594,TBP;TAF6;TAF5;TAF11;TAF9
1332,Human,O00571;O14979;O43143;P17844;P31943;P35637;P52272;Q00839;Q01844;Q12905;Q12906;Q13148;Q8WYQ5;Q92499;Q92804;Q92841;Q96SB4;Q9BUJ2;Q9NRR4;Q9UKM9,DDX3X;HNRNPDL;DHX15;DDX5;HNRNPH1;FUS;HNRNPM;HNRNPU;EWSR1;ILF2;ILF3;TARDBP;DGCR8;DDX1;TAF15;DDX17;SRPK1;HNRNPUL1;DROSHA;RALY
1335,Human,O75643;O95071;P07437;P11021;P17858;P23246;P26641;P43243;P43246;P68104;Q00839;Q13573;Q15029;Q16531;Q6P2Q9;Q99459;Q9BUQ8;Q9UG63,SNRNP200;UBR5;TUBB;HSPA5;PFKL;SFPQ;EEF1G;MATR3;MSH2;EEF1A1;HNRNPU;SNW1;EFTUD2;DDB1;PRPF8;CDC5L;DDX23;ABCF2
1338,Human,O43524;Q92831,FOXO3;KAT2B
1347,Human,P52948;P57740;Q12769;Q8WUM0,NUP98;NUP107;NUP160;NUP133
1348,Human,O15504;O75694;Q53GS7,NUP42;NUP155;GLE1
1352,Human,O95251;Q6IE81;Q9HAF1;Q9UNL4,KAT7;JADE1;MEAF6;ING4
1372,Human,P06400;P15923;P17542;P25791;Q86U70,RB1;TCF3;TAL1;LMO2;LDB1
1377,Human,Q15650;Q8N3C0;Q8N9N2;Q9H1I8,TRIP4;ASCC3;ASCC1;ASCC2
1379,Human,P10619;P16278;P34059;Q99519,CTSA;GLB1;GALNS;NEU1
1380,Human,O95163;Q6IA86;Q96EB1;Q9H9T3,ELP1;ELP2;ELP4;ELP3
1386,Human,P26651;Q9HCK5,ZFP36;AGO4
1387,Human,P26651;Q9UKV8,ZFP36;AGO2
1399,Human,O14686;P61964;Q15291;Q9UBL3,KMT2D;WDR5;RBBP5;ASH2L
1400,Human,O14686;P07437;P68366;Q14686;Q15291;Q8NEZ4;Q9UBL3,KMT2D;TUBB;TUBA4A;NCOA6;RBBP5;KMT2C;ASH2L
1401,Human,O14686;O15047;P21675;P49848;P61964;Q03164;Q15291;Q16594;Q99496;Q9H7Z6,KMT2D;SETD1A;TAF1;TAF6;WDR5;KMT2A;RBBP5;TAF9;RNF2;KAT8
1413,Human,O15379;O75376;P51532;Q12824;Q13263;Q15393;Q15459;Q6ZRS2;Q8TAQ2;Q92922,HDAC3;NCOR1;SMARCA4;SMARCB1;TRIM28;SF3B3;SF3A1;SRCAP;SMARCC2;SMARCC1
1439,Human,P35354,PTGS2
1448,Human,O14910;O14936;Q12959,LIN7A;CASK;DLG1
1452,Human,P33993;P49736;Q14566,MCM7;MCM2;MCM6
1457,Human,P51825;Q03111;Q9HC52,AFF1;MLLT1;CBX8
1458,Human,O60264;Q92769,SMARCA5;HDAC2
1462,Human,P35226;Q06587;Q8IXK0;Q99496,BMI1;RING1;PHC2;RNF2
1464,Human,O95229;P45973;Q6P1K2;Q96IY1;Q9H081;Q9H410,ZWINT;CBX5;PMF1;NSL1;MIS12;DSN1
1473,Human,Q08999;Q14186;Q15329,RBL2;TFDP1;E2F5
1474,Human,P28749;P84022;Q13485;Q14186;Q15329;Q16254,RBL1;SMAD3;SMAD4;TFDP1;E2F5;E2F4
1488,Human,P06400;P26358;Q01094;Q13547,RB1;DNMT1;E2F1;HDAC1
1490,Human,P26358;Q9NPF5;Q9UER7,DNMT1;DMAP1;DAXX
1491,Human,P26358;P49758;Q9NPF5,DNMT1;RGS6;DMAP1
1492,Human,O60341;O75362;Q13547;Q14687;Q92618;Q92769;Q96BD5;Q9P0W2;Q9UBW7;Q9UKL0,KDM1A;ZNF217;HDAC1;GSE1;ZNF516;HDAC2;PHF21A;HMG20B;ZMYM2;RCOR1
1495,Human,O94776;O95983;Q09028;Q13547;Q14839,MTA2;MBD3;RBBP4;HDAC1;CHD4
1505,Human,O15379;O75376;O75446;Q13547;Q92769;Q96ST3;Q9Y618,HDAC3;NCOR1;SAP30;HDAC1;HDAC2;SIN3A;NCOR2
1508,Human,P41182;Q13105,BCL6;ZBTB17
1514,Human,P05112;P24394,IL4;IL4R
1515,Human,P05112;P24394;P31785,IL4;IL4R;IL2RG
1519,Human,P40189;P40763;Q05655,IL6ST;STAT3;PRKCD
1520,Human,O43318;P40763;Q9UBE8,MAP3K7;STAT3;NLK
1521,Human,P40763;Q09472;Q15797,STAT3;EP300;SMAD1
1522,Human,P40763,STAT3
1530,Human,Q3V6T2,CCDC88A
1539,Human,P04049;P59768;P63244,RAF1;GNG2;RACK1
1543,Human,P30153;P67775,PPP2R1A;PPP2CA
1544,Human,P30153;P67775;Q06190,PPP2R1A;PPP2CA;PPP2R3A
1551,Human,O94829;P47813;P62826,IPO13;EIF1AX;RAN
1552,Human,O14787;P62826;Q9UBU9,TNPO2;RAN;NXF1
1554,Human,P43487;P62826;Q14974,RANBP1;RAN;KPNB1
1557,Human,Q13287;Q9H9Y6;Q9NYV6,NMI;POLR1B;RRN3
1558,Human,Q9H9Y6;Q9NYV6,POLR1B;RRN3
1559,Human,Q13287;Q9NYV6,NMI;RRN3
1561,Human,Q13287,NMI
1571,Human,P12956;P13010;P78527;Q00341,XRCC6;XRCC5;PRKDC;HDLBP
1612,Human,P59768;P62873;P63092,GNG2;GNB1;GNAS
1614,Human,P10911;P59768;P62873,MCF2;GNG2;GNB1
1615,Human,P59768;P62873;Q06187,GNG2;GNB1;BTK
1617,Human,O00555;P59768;P62873,CACNA1A;GNG2;GNB1
1618,Human,P59768;P62873;Q03431,GNG2;GNB1;PTH1R
1619,Human,P59768;P62873;Q9UQL6,GNG2;GNB1;HDAC5
1620,Human,P56524;P59768;P62873,HDAC4;GNG2;GNB1
1623,Human,O15287;O15360;Q00597;Q9HB96;Q9NPI8,FANCG;FANCA;FANCC;FANCE;FANCF
1624,Human,O15287;O15360;Q00597;Q0VG06;Q8IYD8;Q8NB91;Q9HB96;Q9NPI8;Q9NW38,FANCG;FANCA;FANCC;FAAP100;FANCM;FANCB;FANCE;FANCF;FANCL
1625,Human,O15287;O15360;Q00597;Q8IYD8;Q8NB91;Q9HB96;Q9NPI8,FANCG;FANCA;FANCC;FANCM;FANCB;FANCE;FANCF
1633,Human,P11802;P24385;Q00534,CDK4;CCND1;CDK6
1634,Human,P11802;P24385;P38936,CDK4;CCND1;CDKN1A
1642,Human,P11802;P30279;P42771,CDK4;CCND2;CDKN2A
1656,Human,P24864;P24941;P46527,CCNE1;CDK2;CDKN1B
1661,Human,P20248;P28749;Q16254,CCNA2;RBL1;E2F4
1695,Human,O15126;O15127,SCAMP1;SCAMP2
1700,Human,P01112;P42684;Q13671,HRAS;ABL2;RIN1
1703,Human,P01871;P12018;P15814,IGHM;VPREB1;IGLL1
1707,Human,P01589;P14784;P60568,IL2RA;IL2RB;IL2
1714,Human,O00206;Q86XR7;Q8IUC6,TLR4;TICAM2;TICAM1
1728,Human,O00505;P02545;P06748;P09874;P0C0S5;P11388;P49711;P52294;Q6FI13,KPNA3;LMNA;NPM1;PARP1;H2AZ1;TOP2A;CTCF;KPNA1;H2AC18; H2AC19
1729,Human,P06748;P09874;P19338;P34932;P35580;P60709;Q02880;Q04724;Q15233;Q92878,NPM1;PARP1;NCL;HSPA4;MYH10;ACTB;TOP2B;TLE1;NONO;RAD50
1731,Human,Q99873,PRMT1
1734,Human,Q12874;Q15428;Q15459,SF3A3;SF3A2;SF3A1
1737,Human,O75533;Q13435;Q15393;Q15427;Q7RTV0;Q86XP3;Q9BWJ5;Q9Y3B4,SF3B1;SF3B2;SF3B3;SF3B4;PHF5A;DDX42;SF3B5;SF3B6
1743,Human,P62304;P62306;P62308,SNRPE;SNRPF;SNRPG
1745,Human,O14893;P09012;P14678;P57678;P62304;P62306;P62308;P62314;P62316;P62318;P63162;Q8TEQ6;Q8WXD5;Q9H840;Q9UHI6,GEMIN2;SNRPA;SNRPB;GEMIN4;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;SNRPN;GEMIN5;GEMIN6;GEMIN7;DDX20
1746,Human,O14893;P09382;P17931;P57678;P62314;P62316;P62318;Q16637,GEMIN2;LGALS1;LGALS3;GEMIN4;SNRPD1;SNRPD2;SNRPD3;SMN1; SMN2
1749,Human,O14893;P08579;P14678;P20226;P24928;P57678;P63162;Q00403;Q08211;Q9UHI6,GEMIN2;SNRPB2;SNRPB;TBP;POLR2A;GEMIN4;SNRPN;GTF2B;DHX9;DDX20
1750,Human,P57678;P60510;Q9NY27;Q9UHI6,GEMIN4;PPP4C;PPP4R2;DDX20
1751,Human,O14893;P09012;P14678;P57678;Q16637;Q8TEQ6;Q8WXD5;Q9H840;Q9UHI6;Q9Y3F4,GEMIN2;SNRPA;SNRPB;GEMIN4;SMN1; SMN2;GEMIN5;GEMIN6;GEMIN7;DDX20;STRAP
1752,Human,O14893;P57678;Q16637;Q8TEQ6;Q8WXD5;Q9H840;Q9UHI6,GEMIN2;GEMIN4;SMN1; SMN2;GEMIN5;GEMIN6;GEMIN7;DDX20
1760,Human,P11387;P23246;Q15233,TOP1;SFPQ;NONO
1767,Human,O43809;P24928;Q14157;Q16630;Q96J02,NUDT21;POLR2A;UBAP2L;CPSF6;ITCH
1768,Human,O43809;P24928;Q01844;Q14157;Q16630;Q96J02,NUDT21;POLR2A;EWSR1;UBAP2L;CPSF6;ITCH
1769,Human,O43809;P24928;Q16630;Q96J02,NUDT21;POLR2A;CPSF6;ITCH
1772,Human,P26718;Q29980;Q9UBK5,KLRK1;MICB;HCST
1773,Human,P26718;Q9BZM4;Q9UBK5,KLRK1;ULBP3;HCST
1774,Human,P26718;Q29983;Q9UBK5,KLRK1;MICA;HCST
1775,Human,P26718;Q9BZM5;Q9UBK5,KLRK1;ULBP2;HCST
1777,Human,O15105;P36897;P37173;Q9HAU4,SMAD7;TGFBR1;TGFBR2;SMURF2
1779,Human,P36897;P37173;Q9NPB6,TGFBR1;TGFBR2;PARD6A
1783,Human,O15105;P36897;Q9HCE7,SMAD7;TGFBR1;SMURF1
1784,Human,O95630;Q9HAU4;Q9Y3C5,STAMBP;SMURF2;RNF11
1787,Human,P16389;P78357;Q09470;Q9NQC3,KCNA2;CNTNAP1;KCNA1;RTN4
1793,Human,P08138;Q96FE5;Q9BZR6,NGFR;LINGO1;RTN4R
1794,Human,P08138;Q99523,NGFR;SORT1
1795,Human,P01138;P08138;Q99523,NGF;NGFR;SORT1
1810,Human,P13612;P49023;Q9Y2X7,ITGA4;PXN;GIT1
1812,Human,O15169;Q155Q3;Q9Y6R4,AXIN1;DIXDC1;MAP3K4
1813,Human,Q9Y6D9,MAD1L1
1814,Human,Q13257;Q9Y6D9,MAD2L1;MAD1L1
1816,Human,P05412;P15884;P35222,JUN;TCF4;CTNNB1
1826,Human,P12830;P84022;Q14511;Q9UM13,CDH1;SMAD3;NEDD9;ANAPC10
1827,Human,O95405;P29590;P84022;Q15796,ZFYVE9;PML;SMAD3;SMAD2
1828,Human,O15169;P36897;P84022,AXIN1;TGFBR1;SMAD3
1831,Human,P84022;Q09472;Q9Y6X2,SMAD3;EP300;PIAS3
1834,Human,P12830;P26010;P38570,CDH1;ITGB7;ITGAE
1844,Human,P25054;P46940,APC;IQGAP1
1845,Human,P25054;P30622;P46940,APC;CLIP1;IQGAP1
1851,Human,O43683;O43684,BUB1;BUB3
1863,Human,Q99816;Q9H9H4;Q9UK41,TSG101;VPS37B;VPS28
1890,Human,P11831;P19419;P28324,SRF;ELK1;ELK4
1893,Human,P42345;Q6R327;Q9BVC4,MTOR;RICTOR;MLST8
1899,Human,P34130,NTF4
1909,Human,P25054;P78352,APC;DLG4
1927,Human,Q13563;Q6VY07,PKD2;PACS1
1932,Human,P51955;Q8NG66,NEK2;NEK11
1944,Human,O43187;P51617,IRAK2;IRAK1
1945,Human,P51617;Q9Y616,IRAK1;IRAK3
1957,Human,O43914,TYROBP
1970,Human,P12644;Q9GZX9,BMP4;TWSG1
1972,Human,P12644;P21810,BMP4;BGN
1976,Human,P48039,MTNR1A
1977,Human,P49286,MTNR1B
1982,Human,P06703,S100A6
1984,Human,O75381,PEX14
1985,Human,O43918,AIRE
1986,Human,P17813,ENG
1987,Human,P52179,MYOM1
1989,Human,O75531,BANF1
1990,Human,O00264;Q12770,PGRMC1;SCAP
1991,Human,P55345,PRMT2
1992,Human,P48357,LEPR
1993,Human,P43004,SLC1A2
2001,Human,Q9Y239,NOD1
2003,Human,P23219,PTGS1
2004,Human,Q13901,C1D
2005,Human,P18433,PTPRA
2007,Human,P04156,PRNP
2010,Human,P30530,AXL
2013,Human,P51692,STAT5B
2016,Human,P29459,IL12A
2019,Human,P29459;P29460;P42701,IL12A;IL12B;IL12RB1
2020,Human,P29460;P42701;Q99665,IL12B;IL12RB1;IL12RB2
2021,Human,P29459;P29460;Q99665,IL12A;IL12B;IL12RB2
2023,Human,P42229,STAT5A
2026,Human,P29459;P29460;P42701;Q99665,IL12A;IL12B;IL12RB1;IL12RB2
2028,Human,O60674;Q99665,JAK2;IL12RB2
2029,Human,P85298;Q12982,ARHGAP8;BNIP2
2051,Human,Q9UDY8-1,MALT1
2052,Human,O95999-1,BCL10
2053,Human,O95999-1;Q9UDY8-1,BCL10;MALT1
2054,Human,O95999;Q13158;Q14790;Q9UDY8,BCL10;FADD;CASP8;MALT1
2055,Human,O14920;O15111;O95999;Q14790;Q9UDY8,IKBKB;CHUK;BCL10;CASP8;MALT1
2073,Human,P12931;Q9Y4K3;Q9Y6Q6,SRC;TRAF6;TNFRSF11A
2074,Human,Q9Y4K3,TRAF6
2077,Human,Q16584;Q9NY11,MAP3K11;B-raf
2084,Human,P19838;Q00653;Q01201;Q04206;Q04864,NFKB1;NFKB2;RELB;RELA;REL
2086,Human,P19838;Q00653;Q01201;Q04206,NFKB1;NFKB2;RELB;RELA
2100,Human,O14920;O15111;Q99558,IKBKB;CHUK;MAP3K14
2101,Human,O14920;O15111,IKBKB;CHUK
2104,Human,O14920;Q99558,IKBKB;MAP3K14
2105,Human,O14920;O15111;O95163;P25963;Q04206;Q99558,IKBKB;CHUK;ELP1;NFKBIA;RELA;MAP3K14
2112,Human,P07900;P08238;Q16543;Q16584,HSP90AA1;HSP90AB1;CDC37;MAP3K11
2118,Human,O14920;O15111;Q8IUD2;Q9Y6K9,IKBKB;CHUK;ERC1;IKBKG
2123,Human,Q9Y6K9,IKBKG
2124,Human,O15111;P03372;Q9Y6Q9,CHUK;ESR1;NCOA3
2129,Human,P11142;P25686;P25788,HSPA8;DNAJB2;PSMA3
2143,Human,P41743;Q13163;Q13501,PRKCI;MAP2K5;SQSTM1
2145,Human,P62258;Q00613,YWHAE;HSF1
2152,Human,P27540;Q16534,ARNT;HLF
2153,Human,P05107;P08962;P11215,ITGB2;CD63;ITGAM
2156,Human,P31749;P67809,AKT1;YBX1
2159,Human,P10275;P31749;Q9UKG1,AR;AKT1;APPL1
2160,Human,O60341;P10275,KDM1A;AR
2162,Human,Q13564;Q8TBC4,NAE1;UBA3
2170,Human,P49427;P62877;Q13616,CDC34;RBX1;CUL1
2171,Human,O14757;Q13619,CHEK1;CUL4A
2172,Human,P62877;Q13619;Q16531;Q9H211,RBX1;CUL4A;DDB1;CDT1
2174,Human,P61201;Q13098;Q7L5N1;Q92905;Q99627;Q9BT78;Q9UBW8;Q9UNS2,COPS2;GPS1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3
2179,Human,P04637;P61201;Q13098;Q7L5N1;Q92905;Q99627;Q9BT78;Q9UBW8;Q9UNS2,TP53;COPS2;GPS1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3
2183,Human,O15379;O60907;O75164;O75376;P52732;Q13227;Q86T24;Q92828;Q9BZK7;Q9UPN9,HDAC3;TBL1X;KDM4A;NCOR1;KIF11;GPS2;ZBTB33;CORO2A;TBL1XR1;TRIM33
2188,Human,P62877;P63208;Q13616;Q15843;Q9Y297,RBX1;SKP1;CUL1;NEDD8;BTRC
2189,Human,P62877;P63208;P84022;Q13616;Q9Y297,RBX1;SKP1;SMAD3;CUL1;BTRC
2191,Human,P62877;P63208;Q13616;Q8NFZ0,RBX1;SKP1;CUL1;FBH1
2192,Human,P62877;P63208;Q13616;Q86WB0,RBX1;SKP1;CUL1;ZC3HC1
2196,Human,O60671;O60921;P18858;Q99638,RAD1;HUS1;LIG1;RAD9A
2197,Human,O60671;O60921;P39748;Q99638,RAD1;HUS1;FEN1;RAD9A
2198,Human,O60671;O60921;P06746;Q99638,RAD1;HUS1;POLB;RAD9A
2199,Human,P35249;P35250;P40937;P40938;Q8WVB6,RFC4;RFC2;RFC5;RFC3;CHTF18
2200,Human,P35249;P35250;P40937;P40938,RFC4;RFC2;RFC5;RFC3
2201,Human,P12004;P35249;P35250;P40937;P40938,PCNA;RFC4;RFC2;RFC5;RFC3
2203,Human,O60885;P35249;P35250;P35251;P40937;P40938,BRD4;RFC4;RFC2;RFC1;RFC5;RFC3
2204,Human,Q13416;Q99741;Q9UJA3,ORC2;CDC6;MCM8
2205,Human,O43913;Q13415,ORC5;ORC1
2210,Human,O75496;Q13415;Q5YLB2;Q99741,GMNN;ORC1;BRCA1;CDC6
2211,Human,P33240;P38398;Q05048;Q12996;Q99728,CSTF2;BRCA1;CSTF1;CSTF3;BARD1
2213,Human,P24928;P38398;Q99728,POLR2A;BRCA1;BARD1
2214,Human,P38398;P61968;Q86U70;Q99708,BRCA1;LMO4;LDB1;RBBP8
2215,Human,P38398;P61968;Q99708,BRCA1;LMO4;RBBP8
2217,Human,O60934;P49959;Q13315;Q14676;Q92878;Q9BXW9,NBN;MRE11;ATM;MDC1;RAD50;FANCD2
2218,Human,O60934;P49959;Q14676;Q92878,NBN;MRE11;MDC1;RAD50
2219,Human,P54274,TERF1
2220,Human,P07992;P43351;Q92889,ERCC1;RAD52;ERCC4
2223,Human,P54132;Q13472,BLM;TOP3A
2224,Human,P04637;P43246;P52701;P54132;Q06609,TP53;MSH2;MSH6;BLM;RAD51
2226,Human,P43246;P52701;Q05513,MSH2;MSH6;PRKCZ
2228,Human,O43543;O75771;P54132,XRCC2;RAD51D;BLM
2231,Human,P12004,PCNA
2233,Human,Q13111;Q15047;Q9UIS9,CHAF1A;SETDB1;MBD1
2235,Human,P54198;P68431;Q13111;Q13112;Q9NVP2;Q9Y294,HIRA;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;CHAF1A;CHAF1B;ASF1B;ASF1A
2236,Human,O96017;P49321;P50502;P68431;Q13112;Q9NVP2;Q9Y294,CHEK2;NASP;ST13;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;CHAF1B;ASF1B;ASF1A
2237,Human,P08047;Q5U623,SP1;ATF7IP2
2238,Human,Q15047;Q6VMQ6;Q9UIS9,SETDB1;ATF7IP;MBD1
2241,Human,P42858;P61006;Q96CV9,HTT;RAB8A;OPTN
2242,Human,P0DP23;P21980;P42858,CALM1;TGM2;HTT
2243,Human,P21980;P42858,TGM2;HTT
2254,Human,P29279;P60709;P63261,CCN2;ACTB;ACTG1
2255,Human,P23528;P60709;Q01518,CFL1;ACTB;CAP1
2256,Human,P62834;Q7Z5R6,RAP1A;APBB1IP
2258,Human,P17787;P43681;P62760,CHRNB2;CHRNA4;VSNL1
2266,Human,P16298;P53805;Q08209,PPP3CB;RCAN1;PPP3CA
2272,Human,P42262;Q9NRD5;Q9Y3R0,GRIA2;PICK1;GRIP1
2294,Human,Q8IZP0;Q9Y6W5,ABI1;WASF2
2297,Human,O00401;Q8IZP0,WASL;ABI1
2307,Human,O14617;P59780,AP3D1;AP3S2
2308,Human,O14617;Q92572,AP3D1;AP3S1
2318,Human,O15230;P07942;P11047;P16144;P23229,LAMA5;LAMB1;LAMC1;ITGB4;ITGA6
2319,Human,O15230;P11047;P16144;P23229;P55268,LAMA5;LAMC1;ITGB4;ITGA6;LAMB2
2320,Human,P16144;P23229;P48509,ITGB4;ITGA6;CD151
2321,Human,P06241;P16144;P23229,FYN;ITGB4;ITGA6
2322,Human,O15230;P16144;P23229,LAMA5;ITGB4;ITGA6
2323,Human,P16144;P23229,ITGB4;ITGA6
2342,Human,P01137;P06756;P26012;P50281,TGFB1;ITGAV;ITGB8;MMP14
2343,Human,P06756;P18084;Q03405,ITGAV;ITGB5;PLAUR
2345,Human,P06756;P18084;Q14773,ITGAV;ITGB5;ICAM4
2346,Human,P06756;P18084;Q13443,ITGAV;ITGB5;ADAM9
2347,Human,P06756;P10451;P18084,ITGAV;SPP1;ITGB5
2348,Human,O00622;P06756;P18084,CCN1;ITGAV;ITGB5
2350,Human,P06756;P18084,ITGAV;ITGB5
2351,Human,P02751;P06241;P18564,FN1;FYN;ITGB6
2352,Human,P06756;P10451;P18564,ITGAV;SPP1;ITGB6
2353,Human,P06756;P10600;P18564,ITGAV;TGFB3;ITGB6
2354,Human,P06756;P18564,ITGAV;ITGB6
2355,Human,P05106;P06734;P06756;Q08722,ITGB3;FCER2;ITGAV;CD47
2356,Human,P05106;P06756;Q08722,ITGB3;ITGAV;CD47
2358,Human,P05106;P06756;P10451,ITGB3;ITGAV;SPP1
2359,Human,P05106;P06756;Q13444,ITGB3;ITGAV;ADAM15
2362,Human,P05106;P06756;Q9Y624,ITGB3;ITGAV;F11R
2363,Human,P05106;P06756;P49023;Q14289,ITGB3;ITGAV;PXN;PTK2B
2364,Human,O75077;P05106;P06756,ADAM23;ITGB3;ITGAV
2365,Human,P05106;P06756;Q01955,ITGB3;ITGAV;COL4A3
2366,Human,O14495;P05106;P06756,PLPP3;ITGB3;ITGAV
2369,Human,P00533;P05106;P06756,EGFR;ITGB3;ITGAV
2370,Human,P05106;P08514;P21926,ITGB3;ITGA2B;CD9
2374,Human,P05106;P06756;Q16363,ITGB3;ITGAV;LAMA4
2375,Human,P02751;P21980,FN1;TGM2
2376,Human,P02751;P05106;P08514;P21980,FN1;ITGB3;ITGA2B;TGM2
2377,Human,P05106;P08514;P12931;Q08722,ITGB3;ITGA2B;SRC;CD47
2378,Human,P05106;P08514;Q9Y490,ITGB3;ITGA2B;TLN1
2379,Human,P05106;P08514;Q99828,ITGB3;ITGA2B;CIB1
2381,Human,P05106;P08514,ITGB3;ITGA2B
2382,Human,P05106;P08514;Q9Y624,ITGB3;ITGA2B;F11R
2383,Human,P02751;P05556;P08648;P21980,FN1;ITGB1;ITGA5;TGM2
2384,Human,P05556;P08648;Q13444,ITGB1;ITGA5;ADAM15
2385,Human,P05556;P08648,ITGB1;ITGA5
2390,Human,P05556;P08195;Q9UHI5,ITGB1;SLC3A2;SLC7A8
2395,Human,P05556;P48509;Q13683,ITGB1;CD151;ITGA7
2396,Human,P05556;P21926;Q13683,ITGB1;CD9;ITGA7
2397,Human,P05556;Q13683;Q9NPI5,ITGB1;ITGA7;NMRK2
2398,Human,P05556;P26006;P35613,ITGB1;ITGA3;BSG
2399,Human,P05556;P08962;P26006,ITGB1;CD63;ITGA3
2401,Human,P05556;P07996;P26006,ITGB1;THBS1;ITGA3
2406,Human,P05556;P26006,ITGB1;ITGA3
2411,Human,P05556;P23229;P48509,ITGB1;ITGA6;CD151
2413,Human,P05556;P23229,ITGB1;ITGA6
2416,Human,P05556;P62834;P98161,ITGB1;RAP1A;PKD1
2417,Human,P05556;P13612;Q9Y6C2,ITGB1;ITGA4;EMILIN1
2418,Human,P05556;P13612,ITGB1;ITGA4
2419,Human,P05556;P13612;P60033,ITGB1;ITGA4;CD81
2420,Human,P05556;P13612;P19397,ITGB1;ITGA4;CD53
2421,Human,P05556;P13612;P19320,ITGB1;ITGA4;VCAM1
2422,Human,P05556;P13612;P57087,ITGB1;ITGA4;JAM2
2423,Human,P05556;P13612;Q08722,ITGB1;ITGA4;CD47
2424,Human,P05556;P08962;P13612,ITGB1;CD63;ITGA4
2426,Human,P05556;P07996;P13612,ITGB1;THBS1;ITGA4
2428,Human,P05556;P13612;P35442,ITGB1;ITGA4;THBS2
2429,Human,P05556;P17301;Q08722,ITGB1;ITGA2;CD47
2430,Human,O15335;P05556;P17301,CHAD;ITGB1;ITGA2
2431,Human,P05556;P12111;P17301,ITGB1;COL6A3;ITGA2
2432,Human,P05556;P17301,ITGB1;ITGA2
2434,Human,P05556;P12111;P56199,ITGB1;COL6A3;ITGA1
2435,Human,P05556;P17706;P56199,ITGB1;PTPN2;ITGA1
2436,Human,P05556;P06756,ITGB1;ITGAV
