0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,0.10936863,-0.025602473,0.19204828,-0.014501139,-0.09360665,0.007170153,-0.081539124,0.0010928417,-0.14971337,-0.105335996,0.16155142,-0.13754398,-0.25142756,0.14561391,-0.2109845,-0.16871107,-0.06456703,-0.1017784,-0.31262138,-0.18855342,0.19393365,-0.0032727346,0.29778102,0.009307895,-0.0029645122,0.13093328,-0.21913193,0.008542571,-0.2198512,-0.106455535,-0.24046452,0.12825294,0.103639685,-0.020523934,0.10371251,-0.18111926,0.29596236,0.072721675,-0.0105057,0.08928868,-0.053968668,0.017734958,-0.19082846,-0.0519441,-0.0729997,-0.045665774,0.039197136,0.014837356,-0.058762975,0.08230295,-0.1045771,0.06301916,-0.089840546,0.059734274,0.14406228,0.02663241,0.25110638,-0.19592458,-0.086976334,0.14766222,0.08729255,-0.12750788,0.07364724,-0.0018659144,-0.06263627,0.042330146,0.14545216,0.032976642,-0.14226142,-0.08201266,0.023604117,0.08818969,0.03601568,-0.15082891,0.023857232,0.056267753,0.15098755,-0.026807811,-0.13886097,-0.23567002,0.0063599083,0.10726216,0.085462786,-0.031935185,-0.1785539,0.11760085,0.03540969,0.06735137,-0.12059714,0.24106126,-0.11348395,0.047407277,-0.005483933,-0.10025299,0.07991392,0.017146511,-0.21744555,-0.10604257,-0.02623809,0.060004387,-0.042435676,0.01435067,0.13900732,0.10403107,0.19092986,-0.16734949,-0.015569156,-0.0006479306,0.048901644,-0.13147089,-0.12201798,-0.10134124,0.03460713,-0.0656564,0.048072528,0.21951587,-0.06377242,0.18000062,-0.0068014814,0.09214412,0.13477978,-0.12680255,0.067768455,-0.021982059,0.07472115,0.073494144,-0.19604109,0.16421518
1,0.14404275,-0.01823796,0.24945235,-0.033564102,-0.09710958,-0.0049303267,-0.079363175,0.030172952,-0.121858425,-0.109697476,0.12813666,-0.10756098,-0.24765448,0.13403453,-0.19287035,-0.15138753,-0.05650069,-0.083670415,-0.2783168,-0.14980288,0.18775457,-0.03248817,0.2960228,-0.005110054,0.0016798408,0.13455428,-0.20054652,0.0007180383,-0.1898689,-0.11405876,-0.2537678,0.14865519,0.09888425,-0.040695224,0.11079367,-0.15814294,0.32126325,0.107862435,-0.028998828,0.06709731,-0.0698165,0.046543438,-0.20646378,-0.061149575,-0.032392483,-0.045318034,0.012097386,0.008539729,-0.05951851,0.105258696,-0.121519715,0.06950371,-0.081004046,0.093262315,0.16428854,0.03752282,0.25897568,-0.18114436,-0.08083079,0.12136487,0.06706177,-0.13613658,0.0879815,-0.0254959,-0.084682986,0.09215766,0.17163299,0.030373625,-0.15832962,-0.0796766,0.019610275,0.07465286,0.046979904,-0.15155208,0.024830807,0.088397644,0.14561221,-0.029119791,-0.1418594,-0.25154358,-0.00063736964,0.100508526,0.10011053,-0.044256162,-0.17095928,0.076769955,0.049018685,0.06382649,-0.11096509,0.22286856,-0.12838998,0.032732945,0.004562937,-0.10527482,0.070369914,0.04544778,-0.20453657,-0.075249046,0.0055552707,0.052431818,-0.07726119,0.039132632,0.14351699,0.11836255,0.23951392,-0.16690455,-0.007857139,-0.014622747,0.004758056,-0.15663822,-0.13140696,-0.096086256,0.008833832,-0.07927185,0.07637125,0.21820551,-0.024574647,0.16511773,0.010626328,0.121460326,0.15625286,-0.13844629,0.07476427,-0.057432756,0.08998944,0.06361402,-0.18688853,0.16393444
2,0.14711583,-0.043782443,0.24790376,-0.039253924,-0.085099265,0.0021224287,-0.08079961,0.021345919,-0.10584919,-0.11213071,0.10981171,-0.111796476,-0.22829,0.115266144,-0.15968686,-0.1262255,-0.041951496,-0.07214766,-0.21556993,-0.117297575,0.15086034,-0.040718824,0.23584528,0.007896717,-0.0049002487,0.12205573,-0.14976853,-0.013626416,-0.16494767,-0.11203485,-0.21862575,0.11924706,0.07813803,-0.029603774,0.100771815,-0.11835891,0.3028663,0.1052856,-0.019725854,0.041513886,-0.07649597,0.051198725,-0.19782919,-0.056979828,-0.0092724515,-0.07354473,0.016138276,0.0063309222,-0.057401877,0.10467146,-0.12523986,0.049603913,-0.072672546,0.10888148,0.16764313,0.030565638,0.25682288,-0.18907055,-0.088699825,0.1223696,0.079620086,-0.14724338,0.106063984,-0.030566255,-0.102240615,0.12465852,0.180637,0.033508003,-0.16697748,-0.08198878,0.042215023,0.06552692,0.047288116,-0.16389632,0.02045409,0.11271325,0.15376627,-0.023949143,-0.14999308,-0.2642024,-0.015688097,0.10631524,0.12022953,-0.056643046,-0.20752284,0.06382332,0.055227537,0.060265873,-0.12252849,0.24304883,-0.1297866,0.03263155,-0.0039056966,-0.12974817,0.107345566,0.051378276,-0.25025564,-0.07686741,-0.004760538,0.071404554,-0.080638885,0.04636758,0.12750806,0.13799204,0.2937605,-0.17108515,-0.021704013,-0.019519102,-0.0017463549,-0.17695184,-0.14203703,-0.11136903,0.018363783,-0.08465842,0.08350102,0.23503365,-0.02644454,0.16664986,0.019776495,0.13498609,0.17276901,-0.13936052,0.060184754,-0.049552456,0.11689412,0.06500449,-0.21930073,0.20242697
3,0.0860478,-0.035861548,0.13658318,-0.015030174,-0.08801744,0.01914557,-0.06630384,-0.016191019,-0.16758445,-0.092171974,0.1669402,-0.14083673,-0.294062,0.17661962,-0.23340322,-0.19409063,-0.065643,-0.11881213,-0.34920555,-0.23623593,0.21535252,0.006142967,0.32932377,0.023393929,0.006167094,0.13507773,-0.24160454,0.006501371,-0.23430167,-0.118319556,-0.2538727,0.12858455,0.12356959,-0.017948732,0.094690025,-0.2006836,0.30343693,0.06668116,-0.0062315776,0.09089116,-0.031941693,0.0036633867,-0.19237533,-0.052946422,-0.089276224,-0.04988938,0.042479664,0.004744763,-0.054855905,0.076259695,-0.10191694,0.059800398,-0.09698498,0.04340927,0.14591636,0.020146707,0.2555297,-0.2238148,-0.08497328,0.16126724,0.10634799,-0.11594009,0.061139155,0.018820984,-0.06431677,0.018579336,0.12595288,0.03323302,-0.13795696,-0.08341202,0.033657774,0.099963695,0.035778955,-0.13638426,0.017148362,0.051621612,0.1377602,-0.01839088,-0.13264962,-0.21612757,0.011422813,0.111375496,0.06502677,-0.03435593,-0.17321883,0.12863703,0.03371961,0.055450253,-0.11329786,0.24577187,-0.11075117,0.05069563,-0.009755562,-0.106813334,0.08301211,0.013691192,-0.21812789,-0.11495195,-0.047799986,0.07290702,-0.005706241,0.02009039,0.12773366,0.08539496,0.17256424,-0.15561816,-0.019513099,0.011767361,0.07152804,-0.108932026,-0.10969621,-0.08837783,0.042477198,-0.06282516,0.03190236,0.20949632,-0.0696396,0.17111693,-0.013629253,0.07522719,0.116642974,-0.09986012,0.041254617,0.0007148062,0.06589013,0.07781111,-0.19600768,0.16026968
4,0.13347475,-0.054932788,0.21744315,-0.017320529,-0.11000164,0.03781355,-0.087747194,-0.03658279,-0.17911582,-0.12355546,0.18129472,-0.17932539,-0.21498205,0.13019213,-0.18738022,-0.16186325,-0.05816527,-0.094914936,-0.2536835,-0.22194746,0.13322265,0.012735487,0.23927476,0.033410456,0.005647897,0.11183442,-0.15190229,0.006020143,-0.1790168,-0.072134614,-0.1710094,0.095768824,0.07868746,-0.0023448942,0.060417015,-0.1690775,0.22657326,0.052420095,-0.004278347,0.05230475,-0.024958828,-0.004152876,-0.17496723,-0.034056995,-0.067085125,-0.07579084,0.040289227,0.0017309786,-0.056857146,0.0668799,-0.08577854,0.020254854,-0.111445054,0.053815786,0.11975085,-0.0016598231,0.23591395,-0.2228527,-0.10522199,0.16461167,0.110933125,-0.11568658,0.08375318,0.0075408844,-0.08206492,0.021882446,0.10823043,0.018533299,-0.13335952,-0.10457966,0.0369576,0.115956984,0.034749564,-0.1578862,0.0067915795,0.079800956,0.18115474,-0.0007579234,-0.16761571,-0.26554394,-0.020222483,0.15200132,0.09626593,-0.07122133,-0.20704767,0.1254114,0.029394053,0.052248094,-0.13876024,0.2781921,-0.12673958,0.059399195,-0.016069174,-0.127359,0.10329701,0.0063904636,-0.2324836,-0.11174877,-0.046337068,0.096074946,0.003081178,0.0030251488,0.11146748,0.092670225,0.18505137,-0.17219181,-0.04809567,0.02406706,0.07503667,-0.10731781,-0.113064684,-0.12292892,0.05575489,-0.041174244,0.018826133,0.25150076,-0.08808436,0.19147865,-0.0065700426,0.10872941,0.15942632,-0.13653727,0.052238706,0.00378669,0.10872538,0.078982405,-0.29413953,0.21446453
6,0.15285748,-0.02370699,0.27707896,-0.033627663,-0.06875489,-0.0016698745,-0.05869562,0.024783231,-0.076315016,-0.06775005,0.11578019,-0.07000977,-0.19751666,0.1099954,-0.16258904,-0.121391505,-0.05319905,-0.060412697,-0.2347354,-0.12000391,0.1348436,-0.026476024,0.2270897,0.00612082,-0.008049276,0.110326245,-0.15710784,0.0016560559,-0.18199061,-0.087058224,-0.22091517,0.11905069,0.08627739,-0.04009491,0.09394898,-0.13918205,0.26530513,0.07888571,-0.010139534,0.046736643,-0.08606493,0.055100903,-0.19679986,-0.06987599,-0.02571483,-0.0546066,0.0051176646,0.025845045,-0.050213292,0.10210563,-0.088734865,0.05759311,-0.06614827,0.07058318,0.13679177,0.038882606,0.23842992,-0.16403459,-0.07373219,0.12997359,0.04858269,-0.116959065,0.06613358,-0.02674755,-0.073088765,0.08809796,0.1636552,0.033607215,-0.17334932,-0.0869493,0.02612544,0.10408222,0.06163302,-0.19087377,0.022903414,0.097350016,0.1979461,-0.0019824437,-0.16998096,-0.28166294,-0.012094692,0.11875839,0.11921202,-0.045596484,-0.23685943,0.08776626,0.06963705,0.06875594,-0.14506397,0.28764683,-0.14097954,0.03659728,-0.012421894,-0.15173957,0.1120953,0.025799783,-0.28001302,-0.11907336,0.003969678,0.063868895,-0.09384338,0.021497436,0.14559896,0.14232743,0.27402216,-0.19278896,-0.018781258,-0.0112522105,0.01182094,-0.17113692,-0.12741521,-0.121373184,0.015511604,-0.06494282,0.06620326,0.24428172,-0.055012245,0.18175374,0.015832856,0.14350115,0.16432771,-0.15663445,0.0952118,-0.055237267,0.10236552,0.07239324,-0.23308115,0.17405951
7,0.17392892,-0.06552223,0.28898913,-0.042469714,-0.100410566,0.010260686,-0.08216002,-0.0011119264,-0.13419767,-0.11529477,0.1337882,-0.12330886,-0.22804716,0.11829175,-0.15889286,-0.14475895,-0.050250396,-0.07048285,-0.22095448,-0.16460788,0.13037597,-0.025470799,0.22621498,0.030923435,0.0062456154,0.12178165,-0.13236919,-0.010725127,-0.15754817,-0.09711744,-0.20973831,0.10737529,0.08169833,-0.02597717,0.07932362,-0.13320158,0.25772774,0.081985384,-0.012662961,0.027689757,-0.052007504,0.04011331,-0.18554047,-0.0418506,-0.019049797,-0.08159246,0.008218692,-0.0035622434,-0.04405167,0.08482025,-0.09207656,0.020353254,-0.07708436,0.09164103,0.13661966,0.021395609,0.22421867,-0.19873853,-0.09238391,0.13176785,0.086004436,-0.11863638,0.08925983,-0.016112117,-0.101058625,0.087409385,0.14153518,0.025609571,-0.15668105,-0.1047602,0.049013037,0.08593233,0.04278547,-0.17966715,0.0074171694,0.1247949,0.17381866,-0.009650461,-0.1632174,-0.27856633,-0.028919859,0.13199407,0.13132164,-0.068126164,-0.22511785,0.07688411,0.050196946,0.053128734,-0.13056938,0.2680721,-0.13984533,0.047675747,-0.009347185,-0.13511491,0.12116232,0.037221916,-0.2567803,-0.088383414,-0.008310244,0.08342572,-0.052561417,0.03774908,0.12524162,0.12623222,0.2750076,-0.17583133,-0.02679686,-0.005251114,0.020843366,-0.1580882,-0.118113026,-0.119610295,0.03085327,-0.0609254,0.06350395,0.24257292,-0.046906848,0.16401315,0.019695127,0.134375,0.16541344,-0.13556615,0.051218797,-0.031578008,0.11338282,0.054622244,-0.26164085,0.1979664
8,0.12069098,-0.023411108,0.18417329,-0.023425201,-0.08207364,0.012239488,-0.065476716,0.0036101264,-0.12205697,-0.087747514,0.12723832,-0.10768913,-0.24871694,0.14592241,-0.17906524,-0.14714757,-0.06394222,-0.0852846,-0.28160954,-0.16568407,0.17475697,-0.009882811,0.2766776,0.021562446,-0.00071908423,0.13012981,-0.19127539,-0.00404174,-0.20478535,-0.09971313,-0.25030622,0.12813231,0.11445599,-0.03212535,0.09083712,-0.17656393,0.27911308,0.08170573,-0.012656669,0.059253894,-0.060009316,0.029969176,-0.17301506,-0.05440064,-0.05860092,-0.054590415,0.013327682,0.0066364016,-0.050363988,0.08153117,-0.08937277,0.044596057,-0.07580185,0.07099913,0.1377194,0.037149165,0.24601935,-0.19461276,-0.08605078,0.13001119,0.06855681,-0.115778565,0.06335763,-0.0151763465,-0.074243456,0.061189488,0.14467454,0.025161069,-0.16251048,-0.08983746,0.033697125,0.104215965,0.045896158,-0.15641469,0.011943145,0.09471975,0.1587771,-0.009961294,-0.15946014,-0.2568194,-0.0004930897,0.118048616,0.0946682,-0.056253508,-0.21042477,0.09686594,0.048458196,0.064101756,-0.13075319,0.268702,-0.13453813,0.046329904,-0.0123137515,-0.13185877,0.10303668,0.026384052,-0.24698508,-0.09800826,-0.012459812,0.0630014,-0.045080516,0.021656614,0.13863446,0.10845309,0.22309428,-0.16893016,-0.006218887,0.0069060004,0.026042143,-0.1484059,-0.11323758,-0.10198084,0.023357501,-0.066003405,0.065261595,0.22687902,-0.06321155,0.1781111,0.009332,0.122050084,0.15583573,-0.13879575,0.06525315,-0.032478217,0.093639284,0.06314464,-0.2230149,0.17210373
